Filename:  live_data.mca
Description:  
TimeStamp:  11/08/2019 10:04:23

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
437	525	35.450	104624	108278	481.38	0.32	GOOD

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	648
7	533
8	477
9	465
10	475
11	489
12	465
13	474
14	503
15	537
16	522
17	564
18	572
19	633
20	662
21	804
22	1140
23	2093
24	4073
25	6291
26	7270
27	5946
28	4115
29	2657
30	1885
31	1393
32	1039
33	737
34	623
35	596
36	624
37	618
38	610
39	556
40	638
41	633
42	529
43	604
44	566
45	585
46	603
47	595
48	583
49	594
50	603
51	661
52	613
53	644
54	689
55	697
56	793
57	896
58	979
59	1130
60	1130
61	1189
62	1069
63	1004
64	909
65	830
66	847
67	801
68	850
69	836
70	811
71	773
72	740
73	693
74	709
75	708
76	716
77	698
78	672
79	676
80	678
81	717
82	740
83	687
84	734
85	701
86	690
87	728
88	718
89	812
90	737
91	764
92	818
93	801
94	778
95	795
96	802
97	785
98	855
99	847
100	797
101	804
102	820
103	833
104	818
105	821
106	822
107	856
108	826
109	860
110	859
111	827
112	886
113	891
114	856
115	841
116	934
117	854
118	829
119	856
120	820
121	878
122	806
123	831
124	906
125	841
126	844
127	904
128	856
129	868
130	885
131	940
132	963
133	942
134	969
135	1019
136	1020
137	1099
138	1074
139	1121
140	1174
141	1259
142	1261
143	1271
144	1379
145	1323
146	1376
147	1405
148	1340
149	1390
150	1446
151	1449
152	1286
153	1413
154	1358
155	1301
156	1359
157	1267
158	1266
159	1269
160	1247
161	1319
162	1253
163	1201
164	1201
165	1152
166	1135
167	1104
168	1089
169	1074
170	1051
171	1070
172	1007
173	988
174	953
175	928
176	929
177	940
178	936
179	916
180	913
181	831
182	843
183	852
184	811
185	886
186	861
187	808
188	771
189	811
190	748
191	753
192	731
193	703
194	736
195	692
196	702
197	689
198	665
199	671
200	629
201	636
202	649
203	622
204	664
205	614
206	614
207	614
208	595
209	550
210	601
211	554
212	595
213	518
214	571
215	539
216	555
217	551
218	481
219	524
220	531
221	503
222	544
223	461
224	496
225	542
226	520
227	536
228	494
229	500
230	528
231	489
232	478
233	499
234	500
235	514
236	476
237	461
238	490
239	473
240	465
241	462
242	467
243	445
244	471
245	483
246	450
247	433
248	470
249	436
250	477
251	473
252	415
253	466
254	442
255	428
256	429
257	485
258	438
259	455
260	423
261	439
262	438
263	457
264	452
265	414
266	437
267	404
268	436
269	397
270	439
271	442
272	423
273	423
274	441
275	422
276	452
277	472
278	455
279	431
280	425
281	420
282	458
283	422
284	459
285	476
286	436
287	435
288	457
289	435
290	432
291	439
292	498
293	445
294	419
295	437
296	437
297	483
298	415
299	425
300	448
301	487
302	449
303	447
304	438
305	466
306	482
307	454
308	486
309	458
310	448
311	486
312	442
313	449
314	460
315	460
316	476
317	484
318	505
319	464
320	443
321	484
322	443
323	448
324	479
325	461
326	474
327	426
328	444
329	446
330	433
331	428
332	428
333	377
334	411
335	366
336	351
337	331
338	351
339	320
340	297
341	291
342	320
343	281
344	264
345	248
346	271
347	227
348	235
349	234
350	193
351	186
352	209
353	187
354	187
355	166
356	159
357	152
358	164
359	160
360	165
361	146
362	146
363	140
364	139
365	127
366	118
367	118
368	102
369	125
370	112
371	114
372	110
373	94
374	131
375	114
376	101
377	99
378	101
379	101
380	85
381	83
382	80
383	88
384	80
385	86
386	78
387	83
388	103
389	91
390	76
391	65
392	86
393	89
394	73
395	67
396	58
397	65
398	63
399	68
400	67
401	46
402	61
403	60
404	72
405	52
406	64
407	47
408	66
409	74
410	67
411	66
412	58
413	64
414	66
415	70
416	53
417	58
418	62
419	64
420	59
421	56
422	54
423	58
424	45
425	57
426	52
427	73
428	64
429	58
430	66
431	57
432	48
433	63
434	58
435	52
436	72
437	49
438	81
439	83
440	107
441	125
442	125
443	144
444	146
445	162
446	181
447	221
448	251
449	298
450	340
451	379
452	395
453	492
454	571
455	655
456	705
457	818
458	875
459	897
460	1068
461	1161
462	1318
463	1356
464	1451
465	1566
466	1634
467	1781
468	1924
469	2048
470	2124
471	2276
472	2367
473	2454
474	2646
475	2712
476	2669
477	2756
478	2805
479	2836
480	2836
481	2807
