Filename:  C:\Users\csmuser\Desktop\SidermanOlneyQlab\wetBa_soln2.mca
Description:  
TimeStamp:  11/22/2019 09:26:58
Timebase: 2.00 s

Spectral Data Information
Channel	Data
0	268
1	296
2	259
3	296
4	276
5	236
6	274
7	265
8	245
9	259
10	248
11	253
12	232
13	218
14	238
15	229
16	243
17	217
18	215
19	225
20	221
21	217
22	241
23	205
24	229
25	219
26	206
27	200
28	209
29	209
30	184
31	203
32	213
33	188
34	185
35	175
36	200
37	193
38	194
39	191
40	170
41	167
42	176
43	162
44	169
45	165
46	179
47	174
48	169
49	170
50	160
51	171
52	160
53	161
54	159
55	161
56	159
57	167
58	158
59	170
60	145
61	159
62	160
63	139
64	139
65	145
66	146
67	136
68	138
69	158
70	137
71	144
72	145
73	163
74	128
75	160
76	136
77	128
78	122
79	126
80	134
81	125
82	127
83	109
84	112
85	106
86	110
87	113
88	120
89	119
90	114
91	109
92	120
93	124
94	110
95	113
96	117
97	121
98	112
99	93
100	102
101	89
102	76
103	93
104	98
105	110
106	66
107	96
108	95
109	104
110	98
111	100
112	89
113	99
114	90
115	77
116	84
117	109
118	88
119	78
120	90
121	65
122	84
123	75
124	82
125	74
126	81
127	72
128	78
129	72
130	72
131	67
132	86
133	63
134	75
135	72
136	55
137	75
138	65
139	71
140	60
141	57
142	62
143	50
144	67
145	66
146	64
147	72
148	59
149	69
150	65
151	56
152	67
153	61
154	68
155	63
156	57
157	49
158	63
159	66
160	53
161	56
162	68
163	79
164	60
165	54
166	53
167	56
168	51
169	46
170	73
171	55
172	42
173	40
174	49
175	36
176	43
177	49
178	58
179	49
180	47
181	52
182	42
183	36
184	45
185	52
186	49
187	43
188	37
189	33
190	51
191	45
192	37
193	31
194	43
195	43
196	37
197	42
198	40
199	37
200	35
201	43
202	31
203	38
204	32
205	44
206	45
207	28
208	36
209	30
210	31
211	35
212	41
213	33
214	35
215	28
216	31
217	38
218	37
219	36
220	32
221	33
222	32
223	29
224	36
225	22
226	37
227	33
228	29
229	18
230	32
231	23
232	19
233	40
234	29
235	40
236	27
237	35
238	24
239	31
240	32
241	23
242	32
243	27
244	19
245	17
246	14
247	32
248	20
249	32
250	26
251	21
252	27
253	33
254	31
255	22
