Filename:  C:\Users\csmuser\Desktop\SidermanOlneyQlab\wetBa_soln2.mca
Description:
TimeStamp:  11/22/2019 09:50:30
Timebase: 2.00 s

Spectral Data Information
Channel	Data
0	333
1	320
2	323
3	308
4	266
5	304
6	304
7	312
8	251
9	303
10	274
11	297
12	278
13	247
14	283
15	273
16	248
17	254
18	267
19	241
20	280
21	227
22	238
23	266
24	220
25	247
26	246
27	216
28	237
29	226
30	206
31	266
32	272
33	206
34	225
35	214
36	227
37	219
38	235
39	208
40	201
41	208
42	199
43	188
44	187
45	205
46	187
47	197
48	195
49	170
50	170
51	190
52	195
53	171
54	163
55	159
56	181
57	166
58	132
59	160
60	171
61	150
62	164
63	147
64	154
65	166
66	149
67	163
68	149
69	159
70	154
71	147
72	158
73	160
74	138
75	145
76	134
77	141
78	154
79	144
80	126
81	142
82	134
83	129
84	128
85	120
86	141
87	135
88	115
89	144
90	111
91	110
92	140
93	131
94	121
95	121
96	121
97	117
98	133
99	123
100	121
101	115
102	117
103	122
104	108
105	108
106	112
107	116
108	109
109	117
110	101
111	104
112	94
113	103
114	92
115	95
116	99
117	90
118	68
119	91
120	86
121	94
122	88
123	85
124	88
125	95
126	82
127	84
128	82
129	93
130	74
131	96
132	93
133	95
134	81
135	77
136	86
137	88
138	80
139	52
140	82
141	77
142	108
143	74
144	75
145	64
146	75
147	72
148	87
149	67
150	78
151	67
152	80
153	88
154	67
155	66
156	76
157	59
158	84
159	54
160	60
161	59
162	63
163	68
164	63
165	59
166	52
167	56
168	82
169	68
170	72
171	63
172	53
173	66
174	53
175	62
176	70
177	52
178	48
179	48
180	61
181	61
182	59
183	63
184	57
185	55
186	53
187	75
188	47
189	52
190	55
191	58
192	45
193	50
194	47
195	47
196	39
197	47
198	39
199	51
200	52
201	41
202	46
203	47
204	46
205	35
206	45
207	49
208	37
209	45
210	35
211	30
212	35
213	39
214	44
215	41
216	38
217	49
218	47
219	38
220	40
221	32
222	34
223	42
224	35
225	39
226	37
227	39
228	31
229	26
230	36
231	36
232	31
233	26
234	31
235	38
236	32
237	34
238	34
239	35
240	25
241	27
242	26
243	30
244	35
245	34
246	32
247	34
248	28
249	30
250	24
251	24
252	36
253	28
254	28
255	20
