Feb 03, 2020  02:24:12 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,  -9.52E-011, 
  1.10,   4.76E-011, 
  1.20,   7.75E-010, 
  1.30,   5.21E-009, 
  1.40,   1.28E-008, 
  1.50,   1.16E-008, 
  1.60,   7.51E-009, 
  1.70,   6.09E-009, 
  1.80,   6.52E-009, 
  1.90,   8.10E-009, 
  2.00,   9.59E-009, 
  2.10,   1.05E-008, 
  2.20,   1.05E-008, 
  2.30,   9.90E-009, 
  2.40,   8.21E-009, 
  2.50,   5.25E-009, 
  2.60,   2.49E-009, 
  2.70,   1.21E-009, 
  2.80,   3.09E-010, 
  2.90,   2.89E-010, 
  3.00,   1.95E-010, 
  3.10,   4.69E-011, 
  3.20,  -4.90E-011, 
  3.30,  -6.30E-011, 
  3.40,  -1.41E-010, 
  3.50,  -8.40E-011, 
  3.60,  -2.17E-011, 
  3.70,  -7.91E-011, 
  3.80,  -7.70E-011, 
  3.90,  -5.39E-011, 
  4.00,  -1.17E-010, 
  4.10,  -1.17E-010, 
  4.20,  -8.33E-011, 
  4.30,  -1.19E-010, 
  4.40,  -9.38E-011, 
  4.50,  -8.89E-011, 
  4.60,  -5.32E-011, 
  4.70,  -7.70E-011, 
  4.80,  -4.48E-011, 
  4.90,  -1.41E-010, 
  5.00,  -1.93E-010, 
  5.10,  -1.44E-010, 
  5.20,  -2.19E-010, 
  5.30,  -2.65E-010, 
  5.40,  -1.46E-010, 
  5.50,  -1.67E-010, 
  5.60,  -6.23E-011, 
  5.70,  -9.24E-011, 
  5.80,  -1.82E-010, 
  5.90,  -3.07E-010, 
  6.00,  -3.29E-010, 
  6.10,  -2.61E-010, 
  6.20,  -3.35E-010, 
  6.30,  -3.04E-010, 
  6.40,  -2.20E-010, 
  6.50,  -2.93E-010, 
  6.60,  -2.39E-010, 
  6.70,  -1.53E-010, 
  6.80,  -2.09E-010, 
  6.90,  -2.14E-010, 
  7.00,  -2.40E-010, 
  7.10,  -2.07E-010, 
  7.20,  -1.12E-010, 
  7.30,  -1.08E-010, 
  7.40,  -1.50E-010, 
  7.50,  -1.80E-010, 
  7.60,  -2.39E-010, 
  7.70,  -2.91E-010, 
  7.80,  -2.55E-010, 
  7.90,  -2.47E-010, 
  8.00,  -1.85E-010, 
  8.10,  -2.79E-010, 
  8.20,  -2.95E-010, 
  8.30,  -2.82E-010, 
  8.40,  -2.71E-010, 
  8.50,  -3.07E-010, 
  8.60,  -2.58E-010, 
  8.70,  -2.28E-010, 
  8.80,  -1.82E-010, 
  8.90,  -1.17E-010, 
  9.00,  -1.34E-010, 
  9.10,  -1.99E-010, 
  9.20,  -1.99E-010, 
  9.30,  -1.01E-010, 
  9.40,  -1.04E-010, 
  9.50,  -2.17E-010, 
  9.60,  -1.57E-010, 
  9.70,  -1.61E-010, 
  9.80,  -1.71E-010, 
  9.90,  -2.01E-010, 
 10.00,  -2.94E-010, 
 10.10,  -2.60E-010, 
 10.20,  -2.25E-010, 
 10.30,  -3.27E-010, 
 10.40,  -2.83E-010, 
 10.50,  -3.05E-010, 
 10.60,  -3.08E-010, 
 10.70,  -1.88E-010, 
 10.80,  -1.79E-010, 
 10.90,  -1.86E-010, 
 11.00,  -1.51E-010, 
 11.10,  -2.31E-010, 
 11.20,  -2.00E-010, 
 11.30,  -1.18E-010, 
 11.40,  -7.00E-011, 
 11.50,  -4.55E-011, 
 11.60,   2.80E-012, 
 11.70,   3.22E-011, 
 11.80,  -1.12E-011, 
 11.90,  -6.30E-012, 
 12.00,   8.40E-012, 
 12.10,   9.10E-011, 
 12.20,   1.45E-010, 
 12.30,   9.87E-011, 
 12.40,   1.04E-010, 
 12.50,   4.27E-011, 
 12.60,  -3.57E-011, 
 12.70,  -1.33E-010, 
 12.80,  -1.92E-010, 
 12.90,  -2.14E-010, 
 13.00,  -1.34E-010, 
 13.10,  -1.08E-010, 
 13.20,  -1.16E-010, 
 13.30,  -1.60E-010, 
 13.40,  -1.08E-010, 
 13.50,  -1.09E-010, 
 13.60,  -1.72E-010, 
 13.70,  -1.71E-010, 
 13.80,  -4.90E-012, 
 13.90,   9.87E-011, 
 14.00,   2.08E-010, 
 14.10,   3.34E-010, 
 14.20,   3.76E-010, 
 14.30,   3.62E-010, 
 14.40,   2.54E-010, 
 14.50,   1.55E-010, 
 14.60,   7.07E-011, 
 14.70,   1.54E-011, 
 14.80,   1.82E-011, 
 14.90,   1.25E-010, 
 15.00,   2.00E-010, 
 15.10,   3.66E-010, 
 15.20,   3.20E-010, 
 15.30,   3.46E-010, 
 15.40,   2.96E-010, 
 15.50,   3.47E-010, 
 15.60,   3.57E-010, 
 15.70,   5.99E-010, 
 15.80,   1.30E-009, 
 15.90,   1.94E-009, 
 16.00,   2.28E-009, 
 16.10,   2.48E-009, 
 16.20,   2.67E-009, 
 16.30,   2.55E-009, 
 16.40,   2.23E-009, 
 16.50,   1.93E-009, 
 16.60,   2.95E-009, 
 16.70,   6.05E-009, 
 16.80,   1.24E-008, 
 16.90,   1.97E-008, 
 17.00,   2.45E-008, 
 17.10,   2.55E-008, 
 17.20,   2.50E-008, 
 17.30,   2.21E-008, 
 17.40,   1.63E-008, 
 17.50,   1.05E-008, 
 17.60,   1.33E-008, 
 17.70,   2.87E-008, 
 17.80,   6.14E-008, 
 17.90,   9.03E-008, 
 18.00,   1.02E-007, 
 18.10,   1.00E-007, 
 18.20,   9.44E-008, 
 18.30,   7.88E-008, 
 18.40,   4.52E-008, 
 18.50,   1.28E-008, 
 18.60,   5.68E-009, 
 18.70,   2.97E-009, 
 18.80,   1.93E-009, 
 18.90,   1.32E-009, 
 19.00,   5.26E-010, 
 19.10,   5.27E-010, 
 19.20,   4.10E-010, 
 19.30,   3.38E-010, 
 19.40,   3.77E-010, 
 19.50,   3.05E-010, 
 19.60,   2.73E-010, 
 19.70,   3.47E-010, 
 19.80,   2.79E-010, 
 19.90,   3.18E-010, 
 20.00,   3.31E-010, 
 20.10,   1.71E-010, 
 20.20,   1.22E-010, 
 20.30,   9.10E-011, 
 20.40,   1.58E-010, 
 20.50,   7.49E-011, 
 20.60,   7.70E-011, 
 20.70,   6.16E-011, 
 20.80,   7.49E-011, 
 20.90,  -3.71E-011, 
 21.00,  -3.78E-011, 
 21.10,  -8.68E-011, 
 21.20,  -4.97E-011, 
 21.30,  -3.01E-011, 
 21.40,  -1.13E-010, 
 21.50,  -7.84E-011, 
 21.60,  -6.65E-011, 
 21.70,  -1.28E-010, 
 21.80,  -1.83E-010, 
 21.90,  -9.59E-011, 
 22.00,  -9.87E-011, 
 22.10,  -1.04E-010, 
 22.20,  -1.48E-010, 
 22.30,  -1.07E-010, 
 22.40,  -9.24E-011, 
 22.50,  -1.55E-010, 
 22.60,  -1.86E-010, 
 22.70,  -1.48E-010, 
 22.80,  -1.52E-010, 
 22.90,  -1.68E-010, 
 23.00,  -2.11E-010, 
 23.10,  -1.91E-010, 
 23.20,  -3.57E-011, 
 23.30,  -2.66E-011, 
 23.40,  -3.08E-011, 
 23.50,  -1.68E-011, 
 23.60,  -1.21E-010, 
 23.70,  -1.90E-010, 
 23.80,  -1.63E-010, 
 23.90,  -1.78E-010, 
 24.00,  -1.88E-010, 
 24.10,  -6.58E-011, 
 24.20,  -1.13E-010, 
 24.30,  -1.08E-010, 
 24.40,  -1.16E-010, 
 24.50,  -1.33E-010, 
 24.60,  -1.38E-010, 
 24.70,  -1.81E-010, 
 24.80,  -1.23E-010, 
 24.90,  -1.27E-010, 
 25.00,  -1.39E-010, 
 25.10,  -9.03E-011, 
 25.20,  -9.17E-011, 
 25.30,  -1.30E-010, 
 25.40,  -2.52E-011, 
 25.50,   7.00E-011, 
 25.60,   7.70E-011, 
 25.70,   1.03E-010, 
 25.80,   1.19E-010, 
 25.90,   1.67E-010, 
 26.00,   1.25E-010, 
 26.10,   8.12E-011, 
 26.20,   5.18E-011, 
 26.30,   1.96E-011, 
 26.40,   9.10E-012, 
 26.50,  -7.42E-011, 
 26.60,   8.40E-012, 
 26.70,   7.77E-011, 
 26.80,   1.52E-010, 
 26.90,   2.61E-010, 
 27.00,   4.11E-010, 
 27.10,   4.71E-010, 
 27.20,   6.53E-010, 
 27.30,   6.46E-010, 
 27.40,   5.03E-010, 
 27.50,   4.30E-010, 
 27.60,   7.65E-010, 
 27.70,   1.78E-009, 
 27.80,   2.85E-009, 
 27.90,   4.17E-009, 
 28.00,   5.39E-009, 
 28.10,   6.03E-009, 
 28.20,   6.24E-009, 
 28.30,   5.80E-009, 
 28.40,   4.61E-009, 
 28.50,   2.41E-009, 
 28.60,   1.22E-009, 
 28.70,   4.79E-010, 
 28.80,   4.74E-010, 
 28.90,   3.84E-010, 
 29.00,   4.75E-010, 
 29.10,   5.64E-010, 
 29.20,   6.14E-010, 
 29.30,   5.41E-010, 
 29.40,   4.92E-010, 
 29.50,   2.37E-010, 
 29.60,   1.67E-010, 
 29.70,   9.80E-011, 
 29.80,   4.76E-011, 
 29.90,   1.00E-010, 
 30.00,   1.95E-010, 
 30.10,   1.69E-010, 
 30.20,   1.37E-010, 
 30.30,   7.63E-011, 
 30.40,   8.75E-011, 
 30.50,  -1.82E-011, 
 30.60,  -1.19E-011, 
 30.70,   2.52E-011, 
 30.80,   7.56E-011, 
 30.90,   1.34E-010, 
 31.00,   1.06E-010, 
 31.10,   5.88E-011, 
 31.20,   5.95E-011, 
 31.30,   1.38E-010, 
 31.40,   1.83E-010, 
 31.50,   1.69E-010, 
 31.60,   2.75E-010, 
 31.70,   4.03E-010, 
 31.80,   7.80E-010, 
 31.90,   1.59E-009, 
 32.00,   1.91E-009, 
 32.10,   1.99E-009, 
 32.20,   1.91E-009, 
 32.30,   1.83E-009, 
 32.40,   1.53E-009, 
 32.50,   5.52E-010, 
 32.60,   1.97E-010, 
 32.70,  -7.49E-011, 
 32.80,  -1.76E-010, 
 32.90,  -2.32E-010, 
 33.00,  -1.51E-010, 
 33.10,  -1.04E-010, 
 33.20,  -1.28E-010, 
 33.30,  -1.86E-010, 
 33.40,  -8.40E-011, 
 33.50,  -2.94E-011, 
 33.60,  -6.23E-011, 
 33.70,  -2.52E-011, 
 33.80,  -8.54E-011, 
 33.90,  -3.99E-011, 
 34.00,  -1.40E-011, 
 34.10,  -2.45E-011, 
 34.20,   5.04E-011, 
 34.30,   1.82E-011, 
 34.40,   1.47E-011, 
 34.50,   1.96E-011, 
 34.60,   1.12E-011, 
 34.70,   7.00E-012, 
 34.80,   3.64E-011, 
 34.90,  -1.02E-010, 
 35.00,  -8.47E-011, 
 35.10,  -2.45E-011, 
 35.20,  -2.24E-011, 
 35.30,   1.12E-011, 
 35.40,   4.06E-011, 
 35.50,  -6.02E-011, 
 35.60,  -1.10E-010, 
 35.70,  -1.48E-010, 
 35.80,  -2.52E-011, 
 35.90,  -4.90E-012, 
 36.00,  -1.26E-011, 
 36.10,  -3.92E-011, 
 36.20,   2.94E-011, 
 36.30,   3.15E-011, 
 36.40,   2.17E-011, 
 36.50,  -4.13E-011, 
 36.60,   1.19E-011, 
 36.70,   3.57E-011, 
 36.80,   1.54E-011, 
 36.90,   3.99E-011, 
 37.00,   5.39E-011, 
 37.10,   5.60E-011, 
 37.20,   1.89E-011, 
 37.30,   3.71E-011, 
 37.40,   0.00E+000, 
 37.50,   9.80E-012, 
 37.60,  -4.83E-011, 
 37.70,  -6.16E-011, 
