Feb 05, 2020  12:52:01 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   8.96E-011, 
  1.10,   1.30E-010, 
  1.20,   5.79E-010, 
  1.30,   4.59E-009, 
  1.40,   1.02E-008, 
  1.50,   8.60E-009, 
  1.60,   5.82E-009, 
  1.70,   5.04E-009, 
  1.80,   5.64E-009, 
  1.90,   7.07E-009, 
  2.00,   8.39E-009, 
  2.10,   9.03E-009, 
  2.20,   8.79E-009, 
  2.30,   8.20E-009, 
  2.40,   6.78E-009, 
  2.50,   4.13E-009, 
  2.60,   2.05E-009, 
  2.70,   1.02E-009, 
  2.80,   3.45E-010, 
  2.90,   1.25E-010, 
  3.00,   1.96E-011, 
  3.10,  -9.80E-011, 
  3.20,  -4.20E-012, 
  3.30,  -1.05E-011, 
  3.40,   1.26E-011, 
  3.50,   1.40E-011, 
  3.60,  -1.47E-011, 
  3.70,  -5.04E-011, 
  3.80,  -3.99E-011, 
  3.90,  -3.08E-011, 
  4.00,  -6.86E-011, 
  4.10,  -1.24E-010, 
  4.20,  -1.05E-010, 
  4.30,  -9.24E-011, 
  4.40,  -5.32E-011, 
  4.50,  -5.04E-011, 
  4.60,  -8.40E-011, 
  4.70,  -1.10E-010, 
  4.80,  -9.87E-011, 
  4.90,  -7.77E-011, 
  5.00,  -4.48E-011, 
  5.10,  -6.23E-011, 
  5.20,  -5.32E-011, 
  5.30,  -6.02E-011, 
  5.40,  -1.14E-010, 
  5.50,  -6.93E-011, 
  5.60,   2.52E-011, 
  5.70,   3.22E-011, 
  5.80,  -5.04E-011, 
  5.90,  -1.33E-011, 
  6.00,  -1.01E-010, 
  6.10,  -1.66E-010, 
  6.20,  -8.96E-011, 
  6.30,  -4.13E-011, 
  6.40,  -1.00E-010, 
  6.50,  -2.31E-011, 
  6.60,   4.20E-012, 
  6.70,  -8.05E-011, 
  6.80,  -1.04E-010, 
  6.90,  -7.07E-011, 
  7.00,  -1.16E-010, 
  7.10,  -9.52E-011, 
  7.20,  -9.31E-011, 
  7.30,  -7.84E-011, 
  7.40,  -1.51E-010, 
  7.50,  -1.89E-010, 
  7.60,  -1.51E-010, 
  7.70,  -9.80E-011, 
  7.80,  -1.06E-010, 
  7.90,  -6.09E-011, 
  8.00,  -1.20E-010, 
  8.10,  -1.33E-010, 
  8.20,  -4.90E-011, 
  8.30,   8.61E-011, 
  8.40,  -3.43E-011, 
  8.50,  -6.93E-011, 
  8.60,  -1.09E-010, 
  8.70,  -2.05E-010, 
  8.80,  -1.80E-010, 
  8.90,  -1.33E-010, 
  9.00,   8.40E-012, 
  9.10,  -1.40E-012, 
  9.20,  -9.03E-011, 
  9.30,  -7.91E-011, 
  9.40,  -7.21E-011, 
  9.50,  -7.49E-011, 
  9.60,  -1.41E-010, 
  9.70,  -6.86E-011, 
  9.80,  -6.86E-011, 
  9.90,  -7.63E-011, 
 10.00,  -3.43E-011, 
 10.10,   7.70E-011, 
 10.20,  -4.90E-011, 
 10.30,  -1.11E-010, 
 10.40,  -2.94E-011, 
 10.50,   7.70E-012, 
 10.60,  -7.49E-011, 
 10.70,  -1.13E-010, 
 10.80,  -1.65E-010, 
 10.90,  -1.83E-010, 
 11.00,  -1.40E-010, 
 11.10,  -8.26E-011, 
 11.20,  -9.52E-011, 
 11.30,  -7.56E-011, 
 11.40,  -6.58E-011, 
 11.50,  -4.41E-011, 
 11.60,  -5.53E-011, 
 11.70,   3.01E-011, 
 11.80,  -5.60E-011, 
 11.90,   7.70E-011, 
 12.00,   1.30E-010, 
 12.10,   1.65E-010, 
 12.20,   1.10E-010, 
 12.30,   1.76E-010, 
 12.40,   1.80E-010, 
 12.50,   1.28E-010, 
 12.60,   7.14E-011, 
 12.70,  -8.40E-012, 
 12.80,   2.31E-011, 
 12.90,   1.47E-011, 
 13.00,  -2.10E-012, 
 13.10,   4.20E-011, 
 13.20,   1.17E-010, 
 13.30,   1.60E-010, 
 13.40,   2.03E-011, 
 13.50,   5.60E-012, 
 13.60,  -9.80E-012, 
 13.70,  -2.52E-011, 
 13.80,  -1.12E-011, 
 13.90,   1.18E-010, 
 14.00,   1.68E-010, 
 14.10,   2.25E-010, 
 14.20,   1.95E-010, 
 14.30,   2.09E-010, 
 14.40,   2.65E-010, 
 14.50,   1.98E-010, 
 14.60,   1.29E-010, 
 14.70,   2.14E-010, 
 14.80,   2.78E-010, 
 14.90,   1.72E-010, 
 15.00,   2.21E-010, 
 15.10,   1.86E-010, 
 15.20,   1.62E-010, 
 15.30,   2.25E-010, 
 15.40,   3.53E-010, 
 15.50,   2.73E-010, 
 15.60,   2.44E-010, 
 15.70,   5.04E-010, 
 15.80,   1.21E-009, 
 15.90,   1.75E-009, 
 16.00,   2.16E-009, 
 16.10,   2.36E-009, 
 16.20,   2.36E-009, 
 16.30,   2.24E-009, 
 16.40,   2.02E-009, 
 16.50,   1.76E-009, 
 16.60,   2.38E-009, 
 16.70,   4.80E-009, 
 16.80,   1.01E-008, 
 16.90,   1.62E-008, 
 17.00,   2.08E-008, 
 17.10,   2.21E-008, 
 17.20,   2.24E-008, 
 17.30,   2.01E-008, 
 17.40,   1.59E-008, 
 17.50,   9.92E-009, 
 17.60,   1.10E-008, 
 17.70,   2.15E-008, 
 17.80,   4.80E-008, 
 17.90,   7.54E-008, 
 18.00,   8.84E-008, 
 18.10,   8.78E-008, 
 18.20,   8.56E-008, 
 18.30,   7.06E-008, 
 18.40,   4.62E-008, 
 18.50,   1.47E-008, 
 18.60,   6.10E-009, 
 18.70,   3.20E-009, 
 18.80,   1.91E-009, 
 18.90,   1.27E-009, 
 19.00,   5.33E-010, 
 19.10,   4.72E-010, 
 19.20,   4.36E-010, 
 19.30,   4.59E-010, 
 19.40,   3.63E-010, 
 19.50,   2.37E-010, 
 19.60,   2.46E-010, 
 19.70,   2.03E-010, 
 19.80,   2.45E-010, 
 19.90,   2.49E-010, 
 20.00,   1.76E-010, 
 20.10,   2.51E-010, 
 20.20,   2.70E-010, 
 20.30,   2.77E-010, 
 20.40,   1.84E-010, 
 20.50,   2.13E-010, 
 20.60,   1.26E-010, 
 20.70,   9.03E-011, 
 20.80,   1.58E-010, 
 20.90,   8.33E-011, 
 21.00,  -2.10E-012, 
 21.10,  -7.77E-011, 
 21.20,  -5.18E-011, 
 21.30,   4.90E-012, 
 21.40,   3.22E-011, 
 21.50,   1.82E-011, 
 21.60,   1.40E-011, 
 21.70,   5.53E-011, 
 21.80,  -5.46E-011, 
 21.90,  -8.89E-011, 
 22.00,  -8.68E-011, 
 22.10,   6.16E-011, 
 22.20,   4.90E-011, 
 22.30,   8.61E-011, 
 22.40,   8.61E-011, 
 22.50,   1.51E-010, 
 22.60,   1.36E-010, 
 22.70,   8.40E-011, 
 22.80,  -2.10E-011, 
 22.90,  -8.96E-011, 
 23.00,  -6.37E-011, 
 23.10,  -1.12E-011, 
 23.20,  -3.15E-011, 
 23.30,   8.89E-011, 
 23.40,   1.47E-011, 
 23.50,   2.31E-011, 
 23.60,  -1.33E-011, 
 23.70,   7.70E-011, 
 23.80,   1.23E-010, 
 23.90,   5.95E-011, 
 24.00,   3.29E-011, 
 24.10,  -2.94E-011, 
 24.20,  -1.82E-011, 
 24.30,   4.69E-011, 
 24.40,   4.97E-011, 
 24.50,   1.32E-010, 
 24.60,   1.24E-010, 
 24.70,   1.53E-010, 
 24.80,   1.02E-010, 
 24.90,   6.09E-011, 
 25.00,   7.21E-011, 
 25.10,   1.65E-010, 
 25.20,   1.06E-010, 
 25.30,   9.10E-011, 
 25.40,   1.70E-010, 
 25.50,   5.04E-011, 
 25.60,   8.26E-011, 
 25.70,   2.03E-011, 
 25.80,   3.43E-011, 
 25.90,   8.61E-011, 
 26.00,   1.83E-010, 
 26.10,   1.32E-010, 
 26.20,   1.27E-010, 
 26.30,   2.33E-010, 
 26.40,   2.42E-010, 
 26.50,   1.48E-010, 
 26.60,   7.56E-011, 
 26.70,   1.25E-010, 
 26.80,   1.57E-010, 
 26.90,   2.65E-010, 
 27.00,   3.79E-010, 
 27.10,   4.38E-010, 
 27.20,   4.71E-010, 
 27.30,   4.63E-010, 
 27.40,   5.44E-010, 
 27.50,   4.82E-010, 
 27.60,   5.22E-010, 
 27.70,   1.08E-009, 
 27.80,   2.20E-009, 
 27.90,   3.40E-009, 
 28.00,   4.49E-009, 
 28.10,   5.21E-009, 
 28.20,   5.52E-009, 
 28.30,   5.42E-009, 
 28.40,   4.80E-009, 
 28.50,   2.91E-009, 
 28.60,   1.67E-009, 
 28.70,   7.64E-010, 
 28.80,   4.61E-010, 
 28.90,   4.29E-010, 
 29.00,   4.15E-010, 
 29.10,   5.46E-010, 
 29.20,   6.28E-010, 
 29.30,   5.72E-010, 
 29.40,   4.71E-010, 
 29.50,   3.05E-010, 
 29.60,   1.42E-010, 
 29.70,   7.56E-011, 
 29.80,   1.01E-010, 
 29.90,   9.45E-011, 
 30.00,   1.71E-010, 
 30.10,   1.32E-010, 
 30.20,   1.20E-010, 
 30.30,   1.56E-010, 
 30.40,   1.76E-010, 
 30.50,   1.31E-010, 
 30.60,   3.08E-011, 
 30.70,   4.13E-011, 
 30.80,   1.00E-010, 
 30.90,   9.66E-011, 
 31.00,   3.15E-011, 
 31.10,  -6.86E-011, 
 31.20,   8.54E-011, 
 31.30,   1.72E-010, 
 31.40,   2.36E-010, 
 31.50,   2.00E-010, 
 31.60,   2.05E-010, 
 31.70,   3.53E-010, 
 31.80,   7.56E-010, 
 31.90,   1.45E-009, 
 32.00,   1.77E-009, 
 32.10,   1.95E-009, 
 32.20,   2.01E-009, 
 32.30,   2.13E-009, 
 32.40,   1.82E-009, 
 32.50,   9.43E-010, 
 32.60,   4.30E-010, 
 32.70,   3.74E-010, 
 32.80,   3.20E-010, 
 32.90,   1.65E-010, 
 33.00,   8.61E-011, 
 33.10,   5.60E-011, 
 33.20,  -4.13E-011, 
 33.30,  -4.13E-011, 
 33.40,   1.82E-011, 
 33.50,   5.18E-011, 
 33.60,   6.37E-011, 
 33.70,   9.38E-011, 
 33.80,   9.94E-011, 
 33.90,   7.63E-011, 
 34.00,   5.81E-011, 
 34.10,   3.15E-011, 
 34.20,   1.04E-010, 
 34.30,   1.02E-010, 
 34.40,   1.26E-010, 
 34.50,   6.93E-011, 
 34.60,  -5.60E-011, 
 34.70,  -8.54E-011, 
 34.80,  -2.73E-011, 
 34.90,   2.45E-011, 
 35.00,   2.94E-011, 
 35.10,  -3.85E-011, 
 35.20,   4.06E-011, 
 35.30,   7.07E-011, 
 35.40,   1.86E-010, 
 35.50,   5.39E-011, 
 35.60,   8.26E-011, 
 35.70,   1.27E-010, 
 35.80,   1.23E-010, 
 35.90,   1.03E-010, 
 36.00,   5.18E-011, 
 36.10,   1.17E-010, 
 36.20,   1.18E-010, 
 36.30,   2.16E-010, 
 36.40,   2.06E-010, 
 36.50,   1.20E-010, 
 36.60,   1.20E-010, 
 36.70,   1.20E-010, 
 36.80,   8.96E-011, 
 36.90,   1.23E-010, 
 37.00,   1.50E-010, 
 37.10,   2.08E-010, 
 37.20,   1.70E-010, 
 37.30,   2.05E-010, 
 37.40,   2.04E-010, 
 37.50,   1.48E-010, 
 37.60,   1.01E-010, 
 37.70,   2.87E-011, 
 37.80,  -3.57E-011, 
 37.90,   9.87E-011, 
 38.00,   1.37E-010, 
 38.10,   1.47E-010, 
 38.20,   1.39E-010, 
