Feb 03, 2020  03:01:11 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   2.22E-010, 
  1.10,   2.39E-010, 
  1.20,   7.89E-010, 
  1.30,   5.03E-009, 
  1.40,   1.22E-008, 
  1.50,   1.04E-008, 
  1.60,   6.72E-009, 
  1.70,   5.64E-009, 
  1.80,   6.09E-009, 
  1.90,   7.56E-009, 
  2.00,   8.97E-009, 
  2.10,   9.69E-009, 
  2.20,   9.60E-009, 
  2.30,   8.95E-009, 
  2.40,   7.32E-009, 
  2.50,   4.65E-009, 
  2.60,   2.39E-009, 
  2.70,   1.40E-009, 
  2.80,   5.62E-010, 
  2.90,   3.66E-010, 
  3.00,   3.49E-010, 
  3.10,   4.02E-010, 
  3.20,   2.91E-010, 
  3.30,   1.42E-010, 
  3.40,   3.57E-011, 
  3.50,   6.02E-011, 
  3.60,   2.31E-011, 
  3.70,  -1.12E-011, 
  3.80,  -5.74E-011, 
  3.90,  -1.40E-012, 
  4.00,   2.80E-011, 
  4.10,  -8.54E-011, 
  4.20,  -8.96E-011, 
  4.30,  -1.22E-010, 
  4.40,  -9.38E-011, 
  4.50,  -1.11E-010, 
  4.60,   3.57E-011, 
  4.70,  -8.40E-012, 
  4.80,  -1.74E-010, 
  4.90,  -7.42E-011, 
  5.00,  -2.17E-011, 
  5.10,  -4.13E-011, 
  5.20,  -7.00E-013, 
  5.30,   6.44E-011, 
  5.40,  -1.89E-011, 
  5.50,   7.14E-011, 
  5.60,   3.36E-011, 
  5.70,  -7.00E-013, 
  5.80,   8.26E-011, 
  5.90,   8.26E-011, 
  6.00,   5.32E-011, 
  6.10,   4.27E-011, 
  6.20,   1.11E-010, 
  6.30,   9.59E-011, 
  6.40,   1.08E-010, 
  6.50,  -3.15E-011, 
  6.60,  -7.35E-011, 
  6.70,  -3.71E-011, 
  6.80,  -1.28E-010, 
  6.90,  -9.17E-011, 
  7.00,  -1.57E-010, 
  7.10,  -8.19E-011, 
  7.20,  -1.82E-011, 
  7.30,  -1.05E-011, 
  7.40,  -4.20E-012, 
  7.50,   1.24E-010, 
  7.60,   1.56E-010, 
  7.70,   4.90E-011, 
  7.80,   7.98E-011, 
  7.90,   9.38E-011, 
  8.00,   6.37E-011, 
  8.10,   1.03E-010, 
  8.20,   1.86E-010, 
  8.30,   1.23E-010, 
  8.40,   7.42E-011, 
  8.50,   5.04E-011, 
  8.60,   1.17E-010, 
  8.70,   5.39E-011, 
  8.80,  -2.17E-011, 
  8.90,  -7.00E-013, 
  9.00,  -6.09E-011, 
  9.10,  -1.41E-010, 
  9.20,  -1.80E-010, 
  9.30,  -1.79E-010, 
  9.40,  -9.24E-011, 
  9.50,  -6.86E-011, 
  9.60,  -1.03E-010, 
  9.70,  -8.05E-011, 
  9.80,  -2.59E-011, 
  9.90,  -6.72E-011, 
 10.00,  -1.20E-010, 
 10.10,  -7.91E-011, 
 10.20,  -5.88E-011, 
 10.30,  -1.33E-010, 
 10.40,  -1.35E-010, 
 10.50,  -4.55E-011, 
 10.60,  -5.88E-011, 
 10.70,  -1.75E-011, 
 10.80,   9.17E-011, 
 10.90,  -2.10E-011, 
 11.00,  -1.32E-010, 
 11.10,  -7.56E-011, 
 11.20,  -2.03E-011, 
 11.30,   7.56E-011, 
 11.40,   1.55E-010, 
 11.50,   1.34E-010, 
 11.60,   1.69E-010, 
 11.70,   1.82E-011, 
 11.80,   3.15E-011, 
 11.90,   2.11E-010, 
 12.00,   2.93E-010, 
 12.10,   2.91E-010, 
 12.20,   3.31E-010, 
 12.30,   3.04E-010, 
 12.40,   2.45E-010, 
 12.50,   2.25E-010, 
 12.60,   1.44E-010, 
 12.70,   4.34E-011, 
 12.80,   1.25E-010, 
 12.90,   8.12E-011, 
 13.00,   3.01E-011, 
 13.10,   7.56E-011, 
 13.20,   1.03E-010, 
 13.30,   1.56E-010, 
 13.40,   1.87E-010, 
 13.50,   5.11E-011, 
 13.60,   9.94E-011, 
 13.70,   1.88E-010, 
 13.80,   2.85E-010, 
 13.90,   3.47E-010, 
 14.00,   3.70E-010, 
 14.10,   3.28E-010, 
 14.20,   3.47E-010, 
 14.30,   3.38E-010, 
 14.40,   1.96E-010, 
 14.50,   1.32E-010, 
 14.60,   1.45E-010, 
 14.70,   9.87E-011, 
 14.80,   9.94E-011, 
 14.90,   2.38E-010, 
 15.00,   3.61E-010, 
 15.10,   4.58E-010, 
 15.20,   4.35E-010, 
 15.30,   3.73E-010, 
 15.40,   3.69E-010, 
 15.50,   3.30E-010, 
 15.60,   5.60E-010, 
 15.70,   8.73E-010, 
 15.80,   1.66E-009, 
 15.90,   1.99E-009, 
 16.00,   2.58E-009, 
 16.10,   2.74E-009, 
 16.20,   2.64E-009, 
 16.30,   2.51E-009, 
 16.40,   2.09E-009, 
 16.50,   1.98E-009, 
 16.60,   3.09E-009, 
 16.70,   6.68E-009, 
 16.80,   1.32E-008, 
 16.90,   2.02E-008, 
 17.00,   2.42E-008, 
 17.10,   2.53E-008, 
 17.20,   2.40E-008, 
 17.30,   2.14E-008, 
 17.40,   1.43E-008, 
 17.50,   9.77E-009, 
 17.60,   1.40E-008, 
 17.70,   3.20E-008, 
 17.80,   6.43E-008, 
 17.90,   9.14E-008, 
 18.00,   9.97E-008, 
 18.10,   1.00E-007, 
 18.20,   9.05E-008, 
 18.30,   7.67E-008, 
 18.40,   3.64E-008, 
 18.50,   1.08E-008, 
 18.60,   4.99E-009, 
 18.70,   2.87E-009, 
 18.80,   1.89E-009, 
 18.90,   1.41E-009, 
 19.00,   7.19E-010, 
 19.10,   6.06E-010, 
 19.20,   5.25E-010, 
 19.30,   4.28E-010, 
 19.40,   3.71E-010, 
 19.50,   3.87E-010, 
 19.60,   4.21E-010, 
 19.70,   3.86E-010, 
 19.80,   2.82E-010, 
 19.90,   3.03E-010, 
 20.00,   2.98E-010, 
 20.10,   2.84E-010, 
 20.20,   2.96E-010, 
 20.30,   2.98E-010, 
 20.40,   2.54E-010, 
 20.50,   1.65E-010, 
 20.60,   2.12E-010, 
 20.70,   2.19E-010, 
 20.80,   2.56E-010, 
 20.90,   2.41E-010, 
 21.00,   1.64E-010, 
 21.10,   1.32E-010, 
 21.20,   1.88E-010, 
 21.30,   9.87E-011, 
 21.40,   6.37E-011, 
 21.50,   9.45E-011, 
 21.60,   9.10E-011, 
 21.70,   8.12E-011, 
 21.80,   1.92E-010, 
 21.90,   9.24E-011, 
 22.00,   4.97E-011, 
 22.10,   9.45E-011, 
 22.20,   5.67E-011, 
 22.30,   9.94E-011, 
 22.40,   1.12E-010, 
 22.50,   5.60E-011, 
 22.60,  -2.17E-011, 
 22.70,   1.96E-011, 
 22.80,   1.37E-010, 
 22.90,   8.40E-011, 
 23.00,   5.32E-011, 
 23.10,  -3.50E-011, 
 23.20,  -2.80E-012, 
 23.30,  -3.99E-011, 
 23.40,   6.51E-011, 
 23.50,   1.34E-010, 
 23.60,   2.24E-010, 
 23.70,   4.27E-011, 
 23.80,  -6.93E-011, 
 23.90,   7.35E-011, 
 24.00,   8.26E-011, 
 24.10,   6.86E-011, 
 24.20,   1.82E-011, 
 24.30,   1.26E-011, 
 24.40,  -2.94E-011, 
 24.50,   1.26E-011, 
 24.60,   2.45E-011, 
 24.70,   4.97E-011, 
 24.80,   2.38E-011, 
 24.90,   8.47E-011, 
 25.00,   8.75E-011, 
 25.10,   1.67E-010, 
 25.20,   1.76E-010, 
 25.30,   1.65E-010, 
 25.40,   2.09E-010, 
 25.50,   1.32E-010, 
 25.60,   1.37E-010, 
 25.70,   1.93E-010, 
 25.80,   2.27E-010, 
 25.90,   1.65E-010, 
 26.00,   2.29E-010, 
 26.10,   2.53E-010, 
 26.20,   2.97E-010, 
 26.30,   2.30E-010, 
 26.40,   2.16E-010, 
 26.50,   8.26E-011, 
 26.60,   1.88E-010, 
 26.70,   2.63E-010, 
 26.80,   2.74E-010, 
 26.90,   4.17E-010, 
 27.00,   5.44E-010, 
 27.10,   5.97E-010, 
 27.20,   6.01E-010, 
 27.30,   5.53E-010, 
 27.40,   6.16E-010, 
 27.50,   6.56E-010, 
 27.60,   7.79E-010, 
 27.70,   1.86E-009, 
 27.80,   2.87E-009, 
 27.90,   4.17E-009, 
 28.00,   5.16E-009, 
 28.10,   5.68E-009, 
 28.20,   5.70E-009, 
 28.30,   5.24E-009, 
 28.40,   3.79E-009, 
 28.50,   1.98E-009, 
 28.60,   1.04E-009, 
 28.70,   6.77E-010, 
 28.80,   5.99E-010, 
 28.90,   6.88E-010, 
 29.00,   6.61E-010, 
 29.10,   5.83E-010, 
 29.20,   6.55E-010, 
 29.30,   6.20E-010, 
 29.40,   5.85E-010, 
 29.50,   4.40E-010, 
 29.60,   3.49E-010, 
 29.70,   1.97E-010, 
 29.80,   1.76E-010, 
 29.90,   1.70E-010, 
 30.00,   2.20E-010, 
 30.10,   2.84E-010, 
 30.20,   2.33E-010, 
 30.30,   1.65E-010, 
 30.40,   1.15E-010, 
 30.50,   3.01E-011, 
 30.60,  -6.86E-011, 
 30.70,   2.31E-011, 
 30.80,   5.95E-011, 
 30.90,   5.32E-011, 
 31.00,  -7.00E-013, 
 31.10,   3.64E-011, 
 31.20,   9.38E-011, 
 31.30,   1.25E-010, 
 31.40,   1.12E-010, 
 31.50,   1.30E-010, 
 31.60,   3.83E-010, 
 31.70,   6.32E-010, 
 31.80,   1.19E-009, 
 31.90,   1.75E-009, 
 32.00,   2.02E-009, 
 32.10,   2.06E-009, 
 32.20,   2.08E-009, 
 32.30,   2.04E-009, 
 32.40,   1.44E-009, 
 32.50,   4.79E-010, 
 32.60,   2.97E-010, 
 32.70,   1.72E-010, 
 32.80,   1.13E-010, 
 32.90,   1.64E-010, 
 33.00,   1.02E-010, 
 33.10,   6.58E-011, 
 33.20,   1.20E-010, 
 33.30,   1.32E-010, 
 33.40,   1.90E-010, 
 33.50,   2.30E-010, 
 33.60,   2.16E-010, 
 33.70,   9.31E-011, 
 33.80,  -1.47E-011, 
 33.90,   5.18E-011, 
 34.00,   2.71E-010, 
 34.10,   2.38E-010, 
 34.20,   2.35E-010, 
 34.30,   2.16E-010, 
 34.40,   1.60E-010, 
 34.50,   1.60E-010, 
 34.60,   1.23E-010, 
 34.70,   7.42E-011, 
 34.80,   5.04E-011, 
 34.90,  -2.66E-011, 
 35.00,   9.10E-012, 
 35.10,   6.86E-011, 
 35.20,   8.33E-011, 
 35.30,   1.69E-010, 
 35.40,   1.59E-010, 
 35.50,   2.75E-010, 
 35.60,   2.34E-010, 
 35.70,   1.93E-010, 
 35.80,   1.43E-010, 
 35.90,   1.62E-010, 
 36.00,   2.14E-010, 
 36.10,   2.37E-010, 
 36.20,   3.00E-010, 
 36.30,   3.06E-010, 
 36.40,   2.55E-010, 
 36.50,   1.38E-010, 
 36.60,   7.14E-011, 
 36.70,   4.34E-011, 
 36.80,   7.21E-011, 
 36.90,   1.15E-010, 
 37.00,   2.15E-010, 
 37.10,   2.63E-010, 
 37.20,   2.44E-010, 
 37.30,   1.94E-010, 
 37.40,   1.16E-010, 
 37.50,   6.51E-011, 
 37.60,   8.61E-011, 
 37.70,   1.22E-010, 
 37.80,   1.18E-010, 
 37.90,   9.17E-011, 
 38.00,   7.70E-011, 
 38.10,   1.62E-010, 
 38.20,   2.75E-010, 
 38.30,   2.39E-010, 
 38.40,   1.32E-010, 
 38.50,   1.05E-010, 
