Feb 03, 2020  01:53:54 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   1.58E-010, 
  1.10,   1.84E-010, 
  1.20,   7.07E-010, 
  1.30,   4.74E-009, 
  1.40,   1.16E-008, 
  1.50,   1.05E-008, 
  1.60,   7.23E-009, 
  1.70,   6.26E-009, 
  1.80,   7.14E-009, 
  1.90,   9.28E-009, 
  2.00,   1.13E-008, 
  2.10,   1.23E-008, 
  2.20,   1.22E-008, 
  2.30,   1.17E-008, 
  2.40,   9.57E-009, 
  2.50,   6.01E-009, 
  2.60,   2.99E-009, 
  2.70,   1.63E-009, 
  2.80,   6.19E-010, 
  2.90,   3.07E-010, 
  3.00,   1.39E-010, 
  3.10,   5.60E-012, 
  3.20,  -1.61E-011, 
  3.30,   2.10E-011, 
  3.40,   4.34E-011, 
  3.50,   2.38E-011, 
  3.60,  -1.63E-010, 
  3.70,  -2.39E-010, 
  3.80,  -2.09E-010, 
  3.90,  -2.73E-010, 
  4.00,  -2.91E-010, 
  4.10,  -1.67E-010, 
  4.20,  -2.38E-010, 
  4.30,  -2.63E-010, 
  4.40,  -2.87E-010, 
  4.50,  -1.90E-010, 
  4.60,  -2.02E-010, 
  4.70,  -1.65E-010, 
  4.80,  -1.35E-010, 
  4.90,  -6.23E-011, 
  5.00,  -9.80E-011, 
  5.10,  -1.40E-010, 
  5.20,  -2.38E-010, 
  5.30,  -2.02E-010, 
  5.40,  -7.14E-011, 
  5.50,  -3.99E-011, 
  5.60,  -1.60E-010, 
  5.70,  -2.09E-010, 
  5.80,  -3.45E-010, 
  5.90,  -3.21E-010, 
  6.00,  -2.70E-010, 
  6.10,  -2.51E-010, 
  6.20,  -2.16E-010, 
  6.30,  -1.86E-010, 
  6.40,  -2.07E-010, 
  6.50,  -2.77E-010, 
  6.60,  -2.46E-010, 
  6.70,  -2.32E-010, 
  6.80,  -8.40E-011, 
  6.90,   2.80E-012, 
  7.00,  -1.89E-011, 
  7.10,  -1.87E-010, 
  7.20,  -2.39E-010, 
  7.30,  -2.14E-010, 
  7.40,  -1.54E-010, 
  7.50,  -1.58E-010, 
  7.60,  -2.16E-010, 
  7.70,  -1.61E-010, 
  7.80,  -1.91E-010, 
  7.90,  -1.56E-010, 
  8.00,  -1.88E-010, 
  8.10,  -1.30E-010, 
  8.20,  -1.72E-010, 
  8.30,  -1.57E-010, 
  8.40,  -1.42E-010, 
  8.50,  -6.37E-011, 
  8.60,  -1.09E-010, 
  8.70,  -2.02E-010, 
  8.80,  -1.29E-010, 
  8.90,  -1.67E-010, 
  9.00,  -1.63E-010, 
  9.10,  -1.30E-010, 
  9.20,  -6.16E-011, 
  9.30,  -3.92E-011, 
  9.40,  -9.66E-011, 
  9.50,  -1.30E-010, 
  9.60,  -8.05E-011, 
  9.70,  -1.20E-010, 
  9.80,  -1.41E-010, 
  9.90,  -1.19E-010, 
 10.00,  -1.16E-010, 
 10.10,  -1.75E-010, 
 10.20,  -2.09E-010, 
 10.30,  -8.26E-011, 
 10.40,  -1.11E-010, 
 10.50,  -1.68E-010, 
 10.60,  -1.27E-010, 
 10.70,  -1.34E-010, 
 10.80,  -1.51E-010, 
 10.90,  -1.83E-010, 
 11.00,  -2.51E-010, 
 11.10,  -9.87E-011, 
 11.20,  -1.24E-010, 
 11.30,  -1.62E-010, 
 11.40,  -1.51E-010, 
 11.50,  -1.39E-010, 
 11.60,  -7.77E-011, 
 11.70,  -6.44E-011, 
 11.80,  -3.43E-011, 
 11.90,   3.36E-011, 
 12.00,   1.20E-010, 
 12.10,   1.08E-010, 
 12.20,   6.93E-011, 
 12.30,   1.67E-010, 
 12.40,   1.19E-010, 
 12.50,  -9.80E-012, 
 12.60,  -4.48E-011, 
 12.70,  -7.56E-011, 
 12.80,  -1.96E-011, 
 12.90,   4.13E-011, 
 13.00,   5.11E-011, 
 13.10,  -1.19E-011, 
 13.20,   4.20E-012, 
 13.30,  -9.10E-012, 
 13.40,   1.40E-011, 
 13.50,   9.94E-011, 
 13.60,   4.83E-011, 
 13.70,  -7.70E-012, 
 13.80,   7.98E-011, 
 13.90,   1.87E-010, 
 14.00,   2.22E-010, 
 14.10,   2.08E-010, 
 14.20,   2.52E-010, 
 14.30,   1.82E-010, 
 14.40,   2.41E-010, 
 14.50,   9.80E-011, 
 14.60,   1.40E-011, 
 14.70,  -1.08E-010, 
 14.80,  -2.66E-011, 
 14.90,   2.01E-010, 
 15.00,   2.65E-010, 
 15.10,   3.09E-010, 
 15.20,   2.91E-010, 
 15.30,   3.05E-010, 
 15.40,   2.16E-010, 
 15.50,   8.12E-011, 
 15.60,   3.64E-011, 
 15.70,   3.34E-010, 
 15.80,   1.04E-009, 
 15.90,   1.76E-009, 
 16.00,   2.16E-009, 
 16.10,   2.41E-009, 
 16.20,   2.61E-009, 
 16.30,   2.48E-009, 
 16.40,   2.17E-009, 
 16.50,   1.77E-009, 
 16.60,   2.48E-009, 
 16.70,   4.97E-009, 
 16.80,   1.04E-008, 
 16.90,   1.73E-008, 
 17.00,   2.27E-008, 
 17.10,   2.41E-008, 
 17.20,   2.41E-008, 
 17.30,   2.15E-008, 
 17.40,   1.67E-008, 
 17.50,   1.02E-008, 
 17.60,   1.14E-008, 
 17.70,   2.22E-008, 
 17.80,   4.97E-008, 
 17.90,   7.93E-008, 
 18.00,   9.38E-008, 
 18.10,   9.36E-008, 
 18.20,   9.18E-008, 
 18.30,   7.63E-008, 
 18.40,   4.95E-008, 
 18.50,   1.50E-008, 
 18.60,   6.39E-009, 
 18.70,   3.35E-009, 
 18.80,   2.02E-009, 
 18.90,   1.27E-009, 
 19.00,   6.96E-010, 
 19.10,   5.47E-010, 
 19.20,   4.44E-010, 
 19.30,   4.35E-010, 
 19.40,   3.36E-010, 
 19.50,   2.71E-010, 
 19.60,   1.74E-010, 
 19.70,   7.98E-011, 
 19.80,  -2.52E-011, 
 19.90,   6.58E-011, 
 20.00,   9.31E-011, 
 20.10,   8.12E-011, 
 20.20,   1.11E-010, 
 20.30,   1.83E-010, 
 20.40,   2.73E-010, 
 20.50,   8.19E-011, 
 20.60,  -9.10E-012, 
 20.70,  -2.17E-011, 
 20.80,   2.31E-011, 
 20.90,   3.43E-011, 
 21.00,  -2.45E-011, 
 21.10,   3.78E-011, 
 21.20,   2.52E-011, 
 21.30,   4.13E-011, 
 21.40,  -2.87E-011, 
 21.50,   7.70E-012, 
 21.60,   5.74E-011, 
 21.70,   6.86E-011, 
 21.80,   3.01E-011, 
 21.90,   3.08E-011, 
 22.00,  -3.22E-011, 
 22.10,  -3.15E-011, 
 22.20,  -4.97E-011, 
 22.30,  -8.54E-011, 
 22.40,  -2.31E-011, 
 22.50,  -5.81E-011, 
 22.60,  -1.23E-010, 
 22.70,  -2.16E-010, 
 22.80,  -1.29E-010, 
 22.90,  -9.94E-011, 
 23.00,  -1.33E-010, 
 23.10,  -1.31E-010, 
 23.20,  -1.34E-010, 
 23.30,  -8.96E-011, 
 23.40,  -1.03E-010, 
 23.50,  -1.58E-010, 
 23.60,  -5.18E-011, 
 23.70,   2.38E-011, 
 23.80,   7.21E-011, 
 23.90,  -2.38E-011, 
 24.00,  -4.34E-011, 
 24.10,  -4.34E-011, 
 24.20,  -7.77E-011, 
 24.30,  -1.10E-010, 
 24.40,  -1.24E-010, 
 24.50,  -6.93E-011, 
 24.60,  -6.86E-011, 
 24.70,  -9.66E-011, 
 24.80,  -2.37E-010, 
 24.90,  -1.56E-010, 
 25.00,  -1.96E-011, 
 25.10,   4.55E-011, 
 25.20,   5.39E-011, 
 25.30,  -4.90E-012, 
 25.40,  -3.29E-011, 
 25.50,  -1.02E-010, 
 25.60,  -9.80E-011, 
 25.70,  -1.50E-010, 
 25.80,  -4.83E-011, 
 25.90,   4.06E-011, 
 26.00,   1.32E-010, 
 26.10,   2.34E-010, 
 26.20,   2.07E-010, 
 26.30,   1.93E-010, 
 26.40,   1.90E-010, 
 26.50,   1.07E-010, 
 26.60,   1.26E-010, 
 26.70,   1.39E-010, 
 26.80,   1.98E-010, 
 26.90,   3.59E-010, 
 27.00,   4.79E-010, 
 27.10,   6.61E-010, 
 27.20,   7.72E-010, 
 27.30,   8.47E-010, 
 27.40,   1.16E-009, 
 27.50,   5.78E-010, 
 27.60,   6.31E-010, 
 27.70,   1.35E-009, 
 27.80,   2.42E-009, 
 27.90,   3.63E-009, 
 28.00,   4.98E-009, 
 28.10,   5.72E-009, 
 28.20,   6.08E-009, 
 28.30,   5.67E-009, 
 28.40,   5.10E-009, 
 28.50,   2.99E-009, 
 28.60,   1.64E-009, 
 28.70,   8.78E-010, 
 28.80,   5.70E-010, 
 28.90,   6.93E-010, 
 29.00,   8.14E-010, 
 29.10,   8.27E-010, 
 29.20,   1.12E-009, 
 29.30,   1.31E-009, 
 29.40,   8.87E-010, 
 29.50,   3.64E-010, 
 29.60,   2.31E-010, 
 29.70,   1.04E-010, 
 29.80,   6.09E-011, 
 29.90,   2.15E-010, 
 30.00,   2.59E-010, 
 30.10,   3.01E-010, 
 30.20,   1.53E-010, 
 30.30,   4.55E-011, 
 30.40,  -2.45E-011, 
 30.50,   3.64E-011, 
 30.60,   7.63E-011, 
 30.70,   2.87E-011, 
 30.80,  -3.15E-011, 
 30.90,   1.40E-012, 
 31.00,  -7.21E-011, 
 31.10,   5.88E-011, 
 31.20,   1.67E-010, 
 31.30,   1.25E-010, 
 31.40,   1.27E-010, 
 31.50,   2.79E-010, 
 31.60,   2.65E-010, 
 31.70,   4.09E-010, 
 31.80,   7.57E-010, 
 31.90,   1.49E-009, 
 32.00,   1.92E-009, 
 32.10,   2.09E-009, 
 32.20,   2.22E-009, 
 32.30,   1.92E-009, 
 32.40,   1.67E-009, 
 32.50,   8.01E-010, 
 32.60,   4.03E-010, 
 32.70,   1.41E-010, 
 32.80,   1.04E-010, 
 32.90,   3.92E-011, 
 33.00,   9.52E-011, 
 33.10,   9.03E-011, 
 33.20,   9.59E-011, 
 33.30,   1.04E-010, 
 33.40,   9.24E-011, 
 33.50,   7.98E-011, 
 33.60,   8.05E-011, 
 33.70,   1.24E-010, 
 33.80,   1.95E-010, 
 33.90,   1.91E-010, 
 34.00,   5.81E-011, 
 34.10,  -8.68E-011, 
 34.20,  -1.32E-010, 
 34.30,  -1.11E-010, 
 34.40,   9.45E-011, 
 34.50,   1.21E-010, 
 34.60,   1.38E-010, 
 34.70,   8.61E-011, 
 34.80,   1.46E-010, 
 34.90,   8.12E-011, 
 35.00,   7.91E-011, 
 35.10,   7.14E-011, 
 35.20,   1.44E-010, 
 35.30,   1.16E-010, 
 35.40,   1.31E-010, 
 35.50,   1.00E-010, 
 35.60,   8.40E-011, 
 35.70,   2.31E-011, 
 35.80,   6.30E-011, 
 35.90,   7.07E-011, 
 36.00,   1.61E-011, 
 36.10,   9.73E-011, 
 36.20,   1.88E-010, 
 36.30,   2.04E-010, 
 36.40,   2.16E-010, 
 36.50,   1.48E-010, 
 36.60,   8.05E-011, 
 36.70,   7.49E-011, 
 36.80,   1.62E-010, 
 36.90,   1.82E-010, 
 37.00,   1.56E-010, 
 37.10,   1.89E-010, 
 37.20,   9.24E-011, 
 37.30,   8.40E-011, 
 37.40,   1.15E-010, 
 37.50,   1.20E-010, 
 37.60,   1.40E-012, 
 37.70,   9.80E-012, 
 37.80,   3.57E-011, 
 37.90,   1.43E-010, 
 38.00,   1.83E-010, 
