Feb 05, 2020  12:41:58 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   3.03E-010, 
  1.10,   3.64E-010, 
  1.20,   8.80E-010, 
  1.30,   4.69E-009, 
  1.40,   1.05E-008, 
  1.50,   9.21E-009, 
  1.60,   6.38E-009, 
  1.70,   5.52E-009, 
  1.80,   6.12E-009, 
  1.90,   8.05E-009, 
  2.00,   9.61E-009, 
  2.10,   1.06E-008, 
  2.20,   1.04E-008, 
  2.30,   9.75E-009, 
  2.40,   7.91E-009, 
  2.50,   4.89E-009, 
  2.60,   2.61E-009, 
  2.70,   1.55E-009, 
  2.80,   5.96E-010, 
  2.90,   3.65E-010, 
  3.00,   2.41E-010, 
  3.10,   1.46E-010, 
  3.20,   9.80E-011, 
  3.30,   6.86E-011, 
  3.40,   1.40E-012, 
  3.50,   2.80E-012, 
  3.60,  -9.10E-012, 
  3.70,  -1.40E-011, 
  3.80,  -2.80E-011, 
  3.90,  -5.95E-011, 
  4.00,   2.80E-012, 
  4.10,   4.20E-012, 
  4.20,  -9.80E-012, 
  4.30,  -6.02E-011, 
  4.40,  -3.50E-011, 
  4.50,  -1.07E-010, 
  4.60,  -7.42E-011, 
  4.70,  -1.43E-010, 
  4.80,  -1.35E-010, 
  4.90,  -8.82E-011, 
  5.00,   3.01E-011, 
  5.10,  -4.69E-011, 
  5.20,  -9.94E-011, 
  5.30,  -1.10E-010, 
  5.40,  -4.83E-011, 
  5.50,  -5.88E-011, 
  5.60,  -3.22E-011, 
  5.70,  -6.16E-011, 
  5.80,  -9.31E-011, 
  5.90,  -4.62E-011, 
  6.00,  -5.11E-011, 
  6.10,  -1.68E-011, 
  6.20,  -2.52E-011, 
  6.30,  -3.29E-011, 
  6.40,  -2.66E-011, 
  6.50,   1.96E-011, 
  6.60,   4.34E-011, 
  6.70,  -8.26E-011, 
  6.80,  -3.57E-011, 
  6.90,   5.39E-011, 
  7.00,   8.68E-011, 
  7.10,   1.16E-010, 
  7.20,  -2.31E-011, 
  7.30,  -9.10E-011, 
  7.40,  -7.35E-011, 
  7.50,  -7.77E-011, 
  7.60,  -8.19E-011, 
  7.70,  -7.98E-011, 
  7.80,  -4.62E-011, 
  7.90,  -4.20E-011, 
  8.00,  -5.04E-011, 
  8.10,   2.80E-012, 
  8.20,  -2.59E-011, 
  8.30,  -9.66E-011, 
  8.40,  -1.61E-010, 
  8.50,  -1.51E-010, 
  8.60,  -1.30E-010, 
  8.70,  -4.55E-011, 
  8.80,  -6.30E-012, 
  8.90,   1.68E-011, 
  9.00,  -2.80E-011, 
  9.10,  -5.18E-011, 
  9.20,  -8.33E-011, 
  9.30,  -9.59E-011, 
  9.40,  -9.24E-011, 
  9.50,  -1.11E-010, 
  9.60,  -6.58E-011, 
  9.70,  -9.45E-011, 
  9.80,  -4.76E-011, 
  9.90,  -1.75E-011, 
 10.00,  -1.75E-011, 
 10.10,  -5.88E-011, 
 10.20,  -7.35E-011, 
 10.30,  -1.20E-010, 
 10.40,  -1.51E-010, 
 10.50,  -1.82E-010, 
 10.60,  -1.50E-010, 
 10.70,  -1.62E-010, 
 10.80,  -2.01E-010, 
 10.90,  -9.24E-011, 
 11.00,  -1.89E-011, 
 11.10,  -3.50E-012, 
 11.20,   3.29E-011, 
 11.30,   6.02E-011, 
 11.40,   3.22E-011, 
 11.50,  -1.89E-011, 
 11.60,   5.39E-011, 
 11.70,  -3.50E-011, 
 11.80,   7.42E-011, 
 11.90,   1.54E-010, 
 12.00,   2.19E-010, 
 12.10,   3.14E-010, 
 12.20,   3.34E-010, 
 12.30,   3.16E-010, 
 12.40,   2.54E-010, 
 12.50,   1.07E-010, 
 12.60,   2.94E-011, 
 12.70,  -3.15E-011, 
 12.80,  -9.10E-012, 
 12.90,   7.21E-011, 
 13.00,   9.59E-011, 
 13.10,   1.89E-011, 
 13.20,  -3.29E-011, 
 13.30,  -1.27E-010, 
 13.40,  -1.23E-010, 
 13.50,  -1.79E-010, 
 13.60,  -7.28E-011, 
 13.70,  -4.41E-011, 
 13.80,   1.01E-010, 
 13.90,   2.46E-010, 
 14.00,   2.61E-010, 
 14.10,   3.14E-010, 
 14.20,   3.38E-010, 
 14.30,   2.89E-010, 
 14.40,   1.19E-010, 
 14.50,  -1.47E-011, 
 14.60,  -5.60E-012, 
 14.70,   5.18E-011, 
 14.80,   1.60E-010, 
 14.90,   2.44E-010, 
 15.00,   3.32E-010, 
 15.10,   4.64E-010, 
 15.20,   5.03E-010, 
 15.30,   3.78E-010, 
 15.40,   3.95E-010, 
 15.50,   2.60E-010, 
 15.60,   2.62E-010, 
 15.70,   4.26E-010, 
 15.80,   1.05E-009, 
 15.90,   1.85E-009, 
 16.00,   2.36E-009, 
 16.10,   2.55E-009, 
 16.20,   2.63E-009, 
 16.30,   2.38E-009, 
 16.40,   2.15E-009, 
 16.50,   1.98E-009, 
 16.60,   2.47E-009, 
 16.70,   4.64E-009, 
 16.80,   1.01E-008, 
 16.90,   1.69E-008, 
 17.00,   2.23E-008, 
 17.10,   2.36E-008, 
 17.20,   2.39E-008, 
 17.30,   2.12E-008, 
 17.40,   1.68E-008, 
 17.50,   1.07E-008, 
 17.60,   1.11E-008, 
 17.70,   2.02E-008, 
 17.80,   4.80E-008, 
 17.90,   7.85E-008, 
 18.00,   9.41E-008, 
 18.10,   9.42E-008, 
 18.20,   9.23E-008, 
 18.30,   7.52E-008, 
 18.40,   5.15E-008, 
 18.50,   1.74E-008, 
 18.60,   6.98E-009, 
 18.70,   3.59E-009, 
 18.80,   2.28E-009, 
 18.90,   1.51E-009, 
 19.00,   7.79E-010, 
 19.10,   6.32E-010, 
 19.20,   5.14E-010, 
 19.30,   5.27E-010, 
 19.40,   3.94E-010, 
 19.50,   2.44E-010, 
 19.60,   1.32E-010, 
 19.70,   6.72E-011, 
 19.80,   1.72E-010, 
 19.90,   1.45E-010, 
 20.00,   1.37E-010, 
 20.10,   2.50E-010, 
 20.20,   1.97E-010, 
 20.30,   2.14E-010, 
 20.40,   1.25E-010, 
 20.50,   7.14E-011, 
 20.60,   5.74E-011, 
 20.70,   6.51E-011, 
 20.80,  -2.87E-011, 
 20.90,  -6.93E-011, 
 21.00,  -7.42E-011, 
 21.10,  -1.05E-011, 
 21.20,   4.76E-011, 
 21.30,   9.10E-012, 
 21.40,   2.45E-011, 
 21.50,   9.80E-012, 
 21.60,  -5.88E-011, 
 21.70,  -5.46E-011, 
 21.80,   4.13E-011, 
 21.90,   2.80E-011, 
 22.00,   5.32E-011, 
 22.10,   3.64E-011, 
 22.20,   1.10E-010, 
 22.30,  -1.12E-011, 
 22.40,   6.02E-011, 
 22.50,  -2.73E-011, 
 22.60,  -1.00E-010, 
 22.70,  -9.31E-011, 
 22.80,  -7.84E-011, 
 22.90,   1.82E-011, 
 23.00,   9.10E-011, 
 23.10,   1.61E-011, 
 23.20,   5.11E-011, 
 23.30,   1.19E-011, 
 23.40,  -7.49E-011, 
 23.50,  -3.50E-011, 
 23.60,  -1.57E-010, 
 23.70,  -8.89E-011, 
 23.80,  -6.09E-011, 
 23.90,  -4.48E-011, 
 24.00,  -1.13E-010, 
 24.10,  -1.44E-010, 
 24.20,  -2.38E-011, 
 24.30,  -3.64E-011, 
 24.40,   4.20E-012, 
 24.50,   4.20E-011, 
 24.60,   7.00E-013, 
 24.70,   1.82E-011, 
 24.80,   1.03E-010, 
 24.90,   5.25E-011, 
 25.00,   5.60E-012, 
 25.10,  -2.10E-012, 
 25.20,   7.21E-011, 
 25.30,   3.29E-011, 
 25.40,   3.22E-011, 
 25.50,  -2.24E-011, 
 25.60,   6.23E-011, 
 25.70,   8.54E-011, 
 25.80,   1.03E-010, 
 25.90,   2.58E-010, 
 26.00,   2.66E-010, 
 26.10,   2.72E-010, 
 26.20,   3.12E-010, 
 26.30,   4.08E-010, 
 26.40,   3.86E-010, 
 26.50,   3.26E-010, 
 26.60,   2.47E-010, 
 26.70,   1.41E-010, 
 26.80,   2.14E-010, 
 26.90,   3.41E-010, 
 27.00,   5.04E-010, 
 27.10,   6.81E-010, 
 27.20,   7.38E-010, 
 27.30,   8.52E-010, 
 27.40,   1.23E-009, 
 27.50,   7.20E-010, 
 27.60,   8.30E-010, 
 27.70,   1.45E-009, 
 27.80,   2.48E-009, 
 27.90,   3.95E-009, 
 28.00,   5.52E-009, 
 28.10,   6.39E-009, 
 28.20,   6.85E-009, 
 28.30,   6.71E-009, 
 28.40,   5.96E-009, 
 28.50,   3.93E-009, 
 28.60,   2.16E-009, 
 28.70,   1.33E-009, 
 28.80,   6.54E-010, 
 28.90,   6.69E-010, 
 29.00,   8.29E-010, 
 29.10,   1.46E-009, 
 29.20,   1.36E-009, 
 29.30,   1.11E-009, 
 29.40,   7.53E-010, 
 29.50,   5.62E-010, 
 29.60,   3.38E-010, 
 29.70,   1.80E-010, 
 29.80,   1.13E-010, 
 29.90,   1.56E-010, 
 30.00,   6.93E-011, 
 30.10,   2.32E-010, 
 30.20,   2.95E-010, 
 30.30,   2.93E-010, 
 30.40,   2.24E-010, 
 30.50,   1.42E-010, 
 30.60,   1.53E-010, 
 30.70,   1.25E-010, 
 30.80,   1.19E-010, 
 30.90,   6.86E-011, 
 31.00,   1.72E-010, 
 31.10,   1.45E-010, 
 31.20,   1.81E-010, 
 31.30,   2.05E-010, 
 31.40,   2.75E-010, 
 31.50,   2.63E-010, 
 31.60,   3.77E-010, 
 31.70,   5.03E-010, 
 31.80,   7.46E-010, 
 31.90,   1.35E-009, 
 32.00,   1.88E-009, 
 32.10,   2.12E-009, 
 32.20,   2.17E-009, 
 32.30,   2.10E-009, 
 32.40,   1.93E-009, 
 32.50,   1.23E-009, 
 32.60,   3.96E-010, 
 32.70,   2.44E-010, 
 32.80,   1.84E-010, 
 32.90,   2.80E-010, 
 33.00,   2.51E-010, 
 33.10,   1.85E-010, 
 33.20,   1.74E-010, 
 33.30,   8.89E-011, 
 33.40,   1.75E-011, 
 33.50,  -3.15E-011, 
 33.60,  -1.54E-011, 
 33.70,   2.80E-011, 
 33.80,   1.47E-010, 
 33.90,   1.86E-010, 
 34.00,   1.28E-010, 
 34.10,   1.48E-010, 
 34.20,   1.37E-010, 
 34.30,   5.67E-011, 
 34.40,   2.38E-011, 
 34.50,  -1.12E-011, 
 34.60,  -2.17E-011, 
 34.70,  -6.72E-011, 
 34.80,  -2.80E-012, 
 34.90,   4.55E-011, 
 35.00,   7.00E-013, 
 35.10,   2.38E-011, 
 35.20,   6.58E-011, 
 35.30,   1.61E-010, 
 35.40,   1.69E-010, 
 35.50,   5.11E-011, 
 35.60,   9.17E-011, 
 35.70,   5.60E-011, 
 35.80,   4.55E-011, 
 35.90,  -1.75E-011, 
 36.00,   5.95E-011, 
 36.10,   1.74E-010, 
 36.20,   2.25E-010, 
 36.30,   1.81E-010, 
 36.40,   9.45E-011, 
 36.50,   3.43E-011, 
 36.60,  -2.80E-012, 
 36.70,   5.88E-011, 
 36.80,   6.30E-011, 
 36.90,   9.17E-011, 
 37.00,   1.46E-010, 
 37.10,   1.91E-010, 
 37.20,   1.88E-010, 
 37.30,   1.11E-010, 
 37.40,   1.37E-010, 
 37.50,   1.18E-010, 
 37.60,   8.75E-011, 
 37.70,   1.16E-010, 
 37.80,   1.27E-010, 
 37.90,   1.80E-010, 
 38.00,   2.28E-010, 
 38.10,   2.88E-010, 
