Feb 03, 2020  02:22:56 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   1.37E-008, 
  1.10,   1.57E-008, 
  1.20,   2.36E-008, 
  1.30,   6.12E-008, 
  1.40,   1.02E-007, 
  1.50,   7.50E-008, 
  1.60,   4.31E-008, 
  1.70,   3.10E-008, 
  1.80,   2.69E-008, 
  1.90,   2.66E-008, 
  2.00,   2.63E-008, 
  2.10,   2.64E-008, 
  2.20,   2.43E-008, 
  2.30,   2.22E-008, 
  2.40,   1.75E-008, 
  2.50,   1.06E-008, 
  2.60,   5.07E-009, 
  2.70,   2.81E-009, 
  2.80,   1.80E-009, 
  2.90,   1.16E-009, 
  3.00,   5.92E-010, 
  3.10,   7.84E-010, 
  3.20,   1.08E-009, 
  3.30,   1.37E-009, 
  3.40,   1.93E-009, 
  3.50,   3.28E-009, 
  3.60,   5.42E-009, 
  3.70,   1.00E-008, 
  3.80,   2.13E-008, 
  3.90,   3.64E-008, 
  4.00,   4.94E-008, 
  4.10,   4.78E-008, 
  4.20,   4.99E-008, 
  4.30,   3.98E-008, 
  4.40,   2.94E-008, 
  4.50,   1.20E-008, 
  4.60,   5.13E-009, 
  4.70,   2.70E-009, 
  4.80,   1.51E-009, 
  4.90,   5.27E-010, 
  5.00,   2.54E-010, 
  5.10,   9.59E-011, 
  5.20,  -3.57E-011, 
  5.30,  -1.29E-010, 
  5.40,  -2.10E-010, 
  5.50,  -3.11E-010, 
  5.60,  -3.28E-010, 
  5.70,  -2.86E-010, 
  5.80,  -2.10E-010, 
  5.90,  -2.40E-010, 
  6.00,  -3.46E-010, 
  6.10,  -3.36E-010, 
  6.20,  -2.68E-010, 
  6.30,  -3.28E-010, 
  6.40,  -3.58E-010, 
  6.50,  -3.63E-010, 
  6.60,  -3.44E-010, 
  6.70,  -1.54E-010, 
  6.80,  -1.61E-010, 
  6.90,  -2.10E-010, 
  7.00,  -2.72E-010, 
  7.10,  -2.04E-010, 
  7.20,  -1.44E-010, 
  7.30,  -7.63E-011, 
  7.40,  -9.03E-011, 
  7.50,  -1.06E-010, 
  7.60,  -1.85E-010, 
  7.70,  -2.96E-010, 
  7.80,  -2.76E-010, 
  7.90,  -2.23E-010, 
  8.00,  -2.49E-010, 
  8.10,  -2.72E-010, 
  8.20,  -2.16E-010, 
  8.30,  -1.54E-010, 
  8.40,  -1.34E-010, 
  8.50,  -1.27E-010, 
  8.60,  -1.83E-010, 
  8.70,  -2.39E-010, 
  8.80,  -4.17E-010, 
  8.90,  -4.91E-010, 
  9.00,  -4.33E-010, 
  9.10,  -2.78E-010, 
  9.20,  -2.97E-010, 
  9.30,  -2.87E-010, 
  9.40,  -2.65E-010, 
  9.50,  -1.80E-010, 
  9.60,  -1.56E-010, 
  9.70,  -9.03E-011, 
  9.80,  -2.03E-010, 
  9.90,  -2.38E-010, 
 10.00,  -1.55E-010, 
 10.10,  -1.59E-010, 
 10.20,  -2.44E-010, 
 10.30,  -3.13E-010, 
 10.40,  -3.09E-010, 
 10.50,  -3.09E-010, 
 10.60,  -2.60E-010, 
 10.70,  -2.36E-010, 
 10.80,  -2.32E-010, 
 10.90,  -2.61E-010, 
 11.00,  -1.81E-010, 
 11.10,  -1.76E-010, 
 11.20,  -1.58E-010, 
 11.30,  -1.91E-010, 
 11.40,  -1.27E-010, 
 11.50,   1.37E-010, 
 11.60,   9.79E-010, 
 11.70,   2.75E-009, 
 11.80,   5.68E-009, 
 11.90,   9.64E-009, 
 12.00,   1.22E-008, 
 12.10,   1.32E-008, 
 12.20,   1.34E-008, 
 12.30,   1.22E-008, 
 12.40,   9.34E-009, 
 12.50,   5.76E-009, 
 12.60,   5.63E-009, 
 12.70,   9.75E-009, 
 12.80,   2.00E-008, 
 12.90,   3.33E-008, 
 13.00,   4.06E-008, 
 13.10,   4.23E-008, 
 13.20,   4.39E-008, 
 13.30,   4.23E-008, 
 13.40,   4.00E-008, 
 13.50,   4.65E-008, 
 13.60,   1.16E-007, 
 13.70,   2.76E-007, 
 13.80,   4.96E-007, 
 13.90,   6.89E-007, 
 14.00,   7.22E-007, 
 14.10,   7.34E-007, 
 14.20,   6.44E-007, 
 14.30,   5.38E-007, 
 14.40,   2.36E-007, 
 14.50,   4.78E-008, 
 14.60,   7.26E-008, 
 14.70,   1.84E-007, 
 14.80,   3.34E-007, 
 14.90,   4.74E-007, 
 15.00,   5.20E-007, 
 15.10,   5.15E-007, 
 15.20,   4.92E-007, 
 15.30,   4.17E-007, 
 15.40,   2.47E-007, 
 15.50,   7.18E-008, 
 15.60,   1.33E-007, 
 15.70,   3.19E-007, 
 15.80,   5.59E-007, 
 15.90,   7.92E-007, 
 16.00,   8.80E-007, 
 16.10,   8.63E-007, 
 16.20,   8.17E-007, 
 16.30,   6.64E-007, 
 16.40,   3.58E-007, 
 16.50,   4.68E-008, 
 16.60,   2.08E-008, 
 16.70,   2.89E-008, 
 16.80,   5.12E-008, 
 16.90,   7.97E-008, 
 17.00,   9.01E-008, 
 17.10,   9.03E-008, 
 17.20,   8.72E-008, 
 17.30,   7.66E-008, 
 17.40,   5.24E-008, 
 17.50,   2.95E-008, 
 17.60,   5.12E-008, 
 17.70,   1.31E-007, 
 17.80,   2.30E-007, 
 17.90,   3.25E-007, 
 18.00,   3.40E-007, 
 18.10,   3.41E-007, 
 18.20,   3.13E-007, 
 18.30,   2.66E-007, 
 18.40,   1.37E-007, 
 18.50,   2.21E-008, 
 18.60,   8.35E-009, 
 18.70,   4.47E-009, 
 18.80,   2.82E-009, 
 18.90,   2.01E-009, 
 19.00,   1.73E-009, 
 19.10,   1.59E-009, 
 19.20,   1.67E-009, 
 19.30,   1.84E-009, 
 19.40,   2.74E-009, 
 19.50,   4.21E-009, 
 19.60,   9.58E-009, 
 19.70,   2.31E-008, 
 19.80,   4.39E-008, 
 19.90,   6.72E-008, 
 20.00,   7.08E-008, 
 20.10,   7.35E-008, 
 20.20,   6.55E-008, 
 20.30,   5.64E-008, 
 20.40,   3.03E-008, 
 20.50,   9.89E-009, 
 20.60,   4.52E-009, 
 20.70,   2.35E-009, 
 20.80,   1.28E-009, 
 20.90,   6.42E-010, 
 21.00,   2.87E-010, 
 21.10,   1.99E-010, 
 21.20,   1.54E-010, 
 21.30,   9.52E-011, 
 21.40,   7.07E-011, 
 21.50,   3.50E-011, 
 21.60,  -1.19E-011, 
 21.70,  -9.45E-011, 
 21.80,  -1.20E-010, 
 21.90,  -4.76E-011, 
 22.00,   3.71E-011, 
 22.10,   3.85E-011, 
 22.20,   8.40E-012, 
 22.30,   1.26E-011, 
 22.40,   3.92E-011, 
 22.50,  -9.52E-011, 
 22.60,  -2.07E-010, 
 22.70,  -2.74E-010, 
 22.80,  -2.75E-010, 
 22.90,  -3.20E-010, 
 23.00,  -3.02E-010, 
 23.10,  -2.62E-010, 
 23.20,  -2.25E-010, 
 23.30,  -1.58E-010, 
 23.40,  -2.00E-010, 
 23.50,  -2.51E-010, 
 23.60,  -2.77E-010, 
 23.70,  -2.37E-010, 
 23.80,  -1.54E-010, 
 23.90,  -2.56E-010, 
 24.00,  -8.05E-011, 
 24.10,  -1.53E-010, 
 24.20,  -8.68E-011, 
 24.30,  -2.80E-011, 
 24.40,  -8.47E-011, 
 24.50,  -1.09E-010, 
 24.60,  -1.90E-010, 
 24.70,  -1.10E-010, 
 24.80,  -1.12E-010, 
 24.90,  -7.84E-011, 
 25.00,   1.12E-011, 
 25.10,   1.50E-010, 
 25.20,   2.23E-010, 
 25.30,   2.47E-010, 
 25.40,   1.76E-010, 
 25.50,   1.42E-010, 
 25.60,   1.81E-010, 
 25.70,   3.21E-010, 
 25.80,   5.73E-010, 
 25.90,   1.21E-009, 
 26.00,   1.38E-009, 
 26.10,   1.65E-009, 
 26.20,   1.90E-009, 
 26.30,   2.07E-009, 
 26.40,   2.46E-009, 
 26.50,   2.59E-009, 
 26.60,   3.19E-009, 
 26.70,   4.42E-009, 
 26.80,   7.22E-009, 
 26.90,   1.24E-008, 
 27.00,   2.29E-008, 
 27.10,   4.28E-008, 
 27.20,   9.16E-008, 
 27.30,   2.18E-007, 
 27.40,   4.30E-007, 
 27.50,   7.78E-007, 
 27.60,   1.79E-006, 
 27.70,   3.87E-006, 
 27.80,   6.36E-006, 
 27.90,   8.88E-006, 
 28.00,   9.44E-006, 
 28.10,   9.67E-006, 
 28.20,   8.95E-006, 
 28.30,   7.74E-006, 
 28.40,   3.62E-006, 
 28.50,   1.40E-007, 
 28.60,   3.23E-008, 
 28.70,   2.76E-008, 
 28.80,   3.94E-008, 
 28.90,   5.86E-008, 
 29.00,   6.95E-008, 
 29.10,   7.08E-008, 
 29.20,   6.97E-008, 
 29.30,   6.01E-008, 
 29.40,   4.03E-008, 
 29.50,   1.34E-008, 
 29.60,   6.05E-009, 
 29.70,   3.45E-009, 
 29.80,   2.30E-009, 
 29.90,   1.83E-009, 
 30.00,   1.69E-009, 
 30.10,   1.52E-009, 
 30.20,   1.47E-009, 
 30.30,   1.36E-009, 
 30.40,   1.33E-009, 
 30.50,   1.28E-009, 
 30.60,   1.14E-009, 
 30.70,   1.26E-009, 
 30.80,   1.88E-009, 
 30.90,   3.16E-009, 
 31.00,   5.34E-009, 
 31.10,   9.34E-009, 
 31.20,   1.89E-008, 
 31.30,   4.76E-008, 
 31.40,   1.05E-007, 
 31.50,   1.96E-007, 
 31.60,   4.50E-007, 
 31.70,   9.50E-007, 
 31.80,   1.54E-006, 
 31.90,   2.10E-006, 
 32.00,   2.11E-006, 
 32.10,   2.20E-006, 
 32.20,   1.90E-006, 
 32.30,   1.72E-006, 
 32.40,   6.59E-007, 
 32.50,   4.49E-008, 
 32.60,   1.31E-008, 
 32.70,   6.75E-009, 
 32.80,   4.47E-009, 
 32.90,   3.39E-009, 
 33.00,   2.92E-009, 
 33.10,   2.80E-009, 
 33.20,   2.60E-009, 
 33.30,   2.34E-009, 
 33.40,   1.93E-009, 
 33.50,   1.48E-009, 
 33.60,   1.49E-009, 
 33.70,   2.09E-009, 
 33.80,   3.52E-009, 
 33.90,   5.63E-009, 
 34.00,   7.50E-009, 
 34.10,   8.31E-009, 
 34.20,   8.52E-009, 
 34.30,   7.77E-009, 
 34.40,   6.35E-009, 
 34.50,   3.28E-009, 
 34.60,   1.63E-009, 
 34.70,   6.77E-010, 
 34.80,   1.95E-010, 
 34.90,   1.14E-010, 
 35.00,   6.23E-011, 
 35.10,   4.76E-011, 
 35.20,   3.99E-011, 
 35.30,   4.62E-011, 
 35.40,   2.31E-011, 
 35.50,   3.99E-011, 
 35.60,   1.93E-010, 
 35.70,   4.02E-010, 
 35.80,   8.31E-010, 
 35.90,   1.50E-009, 
 36.00,   1.63E-009, 
 36.10,   1.76E-009, 
 36.20,   1.83E-009, 
 36.30,   1.62E-009, 
 36.40,   1.21E-009, 
 36.50,   2.37E-010, 
 36.60,   1.02E-010, 
 36.70,  -2.17E-011, 
 36.80,   1.96E-011, 
 36.90,   1.09E-010, 
 37.00,   1.04E-010, 
 37.10,   1.54E-011, 
 37.20,   1.09E-010, 
 37.30,   1.46E-010, 
 37.40,   1.32E-010, 
 37.50,   3.36E-011, 
 37.60,  -1.43E-010, 
 37.70,  -4.06E-011, 
 37.80,   1.32E-010, 
 37.90,   2.91E-010, 
 38.00,   4.52E-010, 
 38.10,   5.65E-010, 
 38.20,   6.87E-010, 
