Feb 03, 2020  03:00:10 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   1.46E-010, 
  1.10,   1.89E-010, 
  1.20,   7.47E-010, 
  1.30,   4.90E-009, 
  1.40,   1.20E-008, 
  1.50,   1.05E-008, 
  1.60,   6.80E-009, 
  1.70,   5.71E-009, 
  1.80,   6.11E-009, 
  1.90,   7.42E-009, 
  2.00,   8.59E-009, 
  2.10,   9.50E-009, 
  2.20,   9.42E-009, 
  2.30,   8.96E-009, 
  2.40,   7.66E-009, 
  2.50,   4.89E-009, 
  2.60,   2.57E-009, 
  2.70,   1.37E-009, 
  2.80,   4.33E-010, 
  2.90,   2.42E-010, 
  3.00,   1.63E-010, 
  3.10,   2.10E-011, 
  3.20,  -1.05E-011, 
  3.30,   1.75E-011, 
  3.40,   5.67E-011, 
  3.50,   8.47E-011, 
  3.60,   1.38E-010, 
  3.70,  -3.85E-011, 
  3.80,  -2.66E-011, 
  3.90,   2.73E-011, 
  4.00,   1.89E-011, 
  4.10,  -9.80E-012, 
  4.20,   6.30E-012, 
  4.30,  -9.17E-011, 
  4.40,  -1.25E-010, 
  4.50,  -6.65E-011, 
  4.60,  -9.45E-011, 
  4.70,  -1.08E-010, 
  4.80,  -6.79E-011, 
  4.90,  -7.70E-012, 
  5.00,  -8.75E-011, 
  5.10,  -8.89E-011, 
  5.20,  -1.13E-010, 
  5.30,  -1.45E-010, 
  5.40,  -7.63E-011, 
  5.50,  -8.61E-011, 
  5.60,  -7.42E-011, 
  5.70,  -2.94E-011, 
  5.80,  -1.40E-012, 
  5.90,  -1.40E-011, 
  6.00,  -9.66E-011, 
  6.10,  -7.49E-011, 
  6.20,  -3.92E-011, 
  6.30,  -1.06E-010, 
  6.40,  -5.60E-011, 
  6.50,  -3.78E-011, 
  6.60,  -2.66E-011, 
  6.70,  -3.64E-011, 
  6.80,   1.89E-011, 
  6.90,  -9.38E-011, 
  7.00,  -1.59E-010, 
  7.10,  -6.93E-011, 
  7.20,  -1.30E-010, 
  7.30,  -5.11E-011, 
  7.40,   3.08E-011, 
  7.50,  -7.56E-011, 
  7.60,  -1.96E-011, 
  7.70,  -1.01E-010, 
  7.80,  -5.95E-011, 
  7.90,  -3.50E-011, 
  8.00,   4.90E-012, 
  8.10,   2.03E-011, 
  8.20,   4.27E-011, 
  8.30,   1.96E-011, 
  8.40,  -1.12E-010, 
  8.50,  -1.46E-010, 
  8.60,  -2.38E-011, 
  8.70,  -3.57E-011, 
  8.80,  -2.03E-011, 
  8.90,  -2.24E-011, 
  9.00,  -3.64E-011, 
  9.10,  -2.66E-011, 
  9.20,  -8.40E-011, 
  9.30,  -1.38E-010, 
  9.40,  -3.99E-011, 
  9.50,  -2.24E-011, 
  9.60,   6.79E-011, 
  9.70,   2.10E-012, 
  9.80,  -3.08E-011, 
  9.90,  -7.70E-011, 
 10.00,  -2.16E-010, 
 10.10,  -2.59E-010, 
 10.20,  -1.69E-010, 
 10.30,  -5.81E-011, 
 10.40,  -5.39E-011, 
 10.50,  -1.61E-011, 
 10.60,  -5.18E-011, 
 10.70,  -2.10E-012, 
 10.80,  -9.10E-011, 
 10.90,  -1.69E-010, 
 11.00,  -6.72E-011, 
 11.10,   8.82E-011, 
 11.20,   1.34E-010, 
 11.30,   4.85E-010, 
 11.40,   1.44E-009, 
 11.50,   3.78E-009, 
 11.60,   1.01E-008, 
 11.70,   2.79E-008, 
 11.80,   6.26E-008, 
 11.90,   9.30E-008, 
 12.00,   9.87E-008, 
 12.10,   1.01E-007, 
 12.20,   8.93E-008, 
 12.30,   7.40E-008, 
 12.40,   3.40E-008, 
 12.50,   1.02E-008, 
 12.60,   5.00E-009, 
 12.70,   3.16E-009, 
 12.80,   2.50E-009, 
 12.90,   2.35E-009, 
 13.00,   2.38E-009, 
 13.10,   2.48E-009, 
 13.20,   2.63E-009, 
 13.30,   2.91E-009, 
 13.40,   3.77E-009, 
 13.50,   6.97E-009, 
 13.60,   1.75E-008, 
 13.70,   4.83E-008, 
 13.80,   1.01E-007, 
 13.90,   1.42E-007, 
 14.00,   1.50E-007, 
 14.10,   1.53E-007, 
 14.20,   1.34E-007, 
 14.30,   1.13E-007, 
 14.40,   4.72E-008, 
 14.50,   1.25E-008, 
 14.60,   6.34E-009, 
 14.70,   4.83E-009, 
 14.80,   5.20E-009, 
 14.90,   6.44E-009, 
 15.00,   7.75E-009, 
 15.10,   8.48E-009, 
 15.20,   8.96E-009, 
 15.30,   9.31E-009, 
 15.40,   1.01E-008, 
 15.50,   1.41E-008, 
 15.60,   3.54E-008, 
 15.70,   9.26E-008, 
 15.80,   1.63E-007, 
 15.90,   2.14E-007, 
 16.00,   2.21E-007, 
 16.10,   2.27E-007, 
 16.20,   1.96E-007, 
 16.30,   1.63E-007, 
 16.40,   5.61E-008, 
 16.50,   1.46E-008, 
 16.60,   9.99E-009, 
 16.70,   1.28E-008, 
 16.80,   2.06E-008, 
 16.90,   3.06E-008, 
 17.00,   3.55E-008, 
 17.10,   3.68E-008, 
 17.20,   3.49E-008, 
 17.30,   3.11E-008, 
 17.40,   2.03E-008, 
 17.50,   1.37E-008, 
 17.60,   2.15E-008, 
 17.70,   5.23E-008, 
 17.80,   9.93E-008, 
 17.90,   1.42E-007, 
 18.00,   1.51E-007, 
 18.10,   1.56E-007, 
 18.20,   1.37E-007, 
 18.30,   1.17E-007, 
 18.40,   5.12E-008, 
 18.50,   1.27E-008, 
 18.60,   5.89E-009, 
 18.70,   3.33E-009, 
 18.80,   2.16E-009, 
 18.90,   1.54E-009, 
 19.00,   8.59E-010, 
 19.10,   7.86E-010, 
 19.20,   7.77E-010, 
 19.30,   7.35E-010, 
 19.40,   8.53E-010, 
 19.50,   1.71E-009, 
 19.60,   3.13E-009, 
 19.70,   6.18E-009, 
 19.80,   1.07E-008, 
 19.90,   1.59E-008, 
 20.00,   1.87E-008, 
 20.10,   2.01E-008, 
 20.20,   1.89E-008, 
 20.30,   1.65E-008, 
 20.40,   9.22E-009, 
 20.50,   4.19E-009, 
 20.60,   2.32E-009, 
 20.70,   1.36E-009, 
 20.80,   6.41E-010, 
 20.90,   4.88E-010, 
 21.00,   3.00E-010, 
 21.10,   2.49E-010, 
 21.20,   3.34E-010, 
 21.30,   4.51E-010, 
 21.40,   5.55E-010, 
 21.50,   1.17E-009, 
 21.60,   2.56E-009, 
 21.70,   5.25E-009, 
 21.80,   9.30E-009, 
 21.90,   1.42E-008, 
 22.00,   1.73E-008, 
 22.10,   1.84E-008, 
 22.20,   1.79E-008, 
 22.30,   1.63E-008, 
 22.40,   1.01E-008, 
 22.50,   4.65E-009, 
 22.60,   2.51E-009, 
 22.70,   1.63E-009, 
 22.80,   8.86E-010, 
 22.90,   5.12E-010, 
 23.00,   4.04E-010, 
 23.10,   3.83E-010, 
 23.20,   3.16E-010, 
 23.30,   1.82E-010, 
 23.40,   1.86E-010, 
 23.50,   1.07E-010, 
 23.60,   1.26E-010, 
 23.70,   1.09E-010, 
 23.80,  -4.20E-012, 
 23.90,  -3.99E-011, 
 24.00,  -4.34E-011, 
 24.10,  -6.65E-011, 
 24.20,  -2.31E-011, 
 24.30,   5.74E-011, 
 24.40,  -2.10E-012, 
 24.50,  -3.64E-011, 
 24.60,  -6.93E-011, 
 24.70,  -7.00E-012, 
 24.80,  -2.10E-012, 
 24.90,  -9.10E-012, 
 25.00,   7.63E-011, 
 25.10,   1.76E-010, 
 25.20,   2.56E-010, 
 25.30,   2.86E-010, 
 25.40,   2.85E-010, 
 25.50,   1.49E-010, 
 25.60,   1.61E-010, 
 25.70,   2.65E-010, 
 25.80,   4.03E-010, 
 25.90,   6.28E-010, 
 26.00,   8.57E-010, 
 26.10,   8.63E-010, 
 26.20,   1.27E-009, 
 26.30,   1.38E-009, 
 26.40,   1.31E-009, 
 26.50,   1.34E-009, 
 26.60,   1.72E-009, 
 26.70,   2.56E-009, 
 26.80,   4.04E-009, 
 26.90,   7.20E-009, 
 27.00,   1.29E-008, 
 27.10,   2.44E-008, 
 27.20,   5.57E-008, 
 27.30,   1.38E-007, 
 27.40,   2.95E-007, 
 27.50,   7.21E-007, 
 27.60,   1.69E-006, 
 27.70,   3.12E-006, 
 27.80,   4.99E-006, 
 27.90,   6.47E-006, 
 28.00,   6.38E-006, 
 28.10,   6.91E-006, 
 28.20,   5.81E-006, 
 28.30,   5.31E-006, 
 28.40,   1.02E-006, 
 28.50,   5.26E-008, 
 28.60,   2.29E-008, 
 28.70,   2.26E-008, 
 28.80,   3.22E-008, 
 28.90,   4.54E-008, 
 29.00,   4.90E-008, 
 29.10,   5.27E-008, 
 29.20,   4.79E-008, 
 29.30,   4.35E-008, 
 29.40,   2.33E-008, 
 29.50,   8.77E-009, 
 29.60,   4.55E-009, 
 29.70,   2.93E-009, 
 29.80,   2.48E-009, 
 29.90,   2.31E-009, 
 30.00,   2.22E-009, 
 30.10,   2.15E-009, 
 30.20,   2.18E-009, 
 30.30,   2.14E-009, 
 30.40,   1.76E-009, 
 30.50,   1.19E-009, 
 30.60,   7.67E-010, 
 30.70,   1.01E-009, 
 30.80,   1.90E-009, 
 30.90,   2.76E-009, 
 31.00,   4.04E-009, 
 31.10,   6.76E-009, 
 31.20,   1.39E-008, 
 31.30,   3.19E-008, 
 31.40,   7.28E-008, 
 31.50,   1.86E-007, 
 31.60,   4.25E-007, 
 31.70,   7.61E-007, 
 31.80,   1.20E-006, 
 31.90,   1.47E-006, 
 32.00,   1.43E-006, 
 32.10,   1.52E-006, 
 32.20,   1.27E-006, 
 32.30,   1.07E-006, 
 32.40,   1.70E-007, 
 32.50,   2.23E-008, 
 32.60,   9.31E-009, 
 32.70,   5.34E-009, 
 32.80,   3.63E-009, 
 32.90,   3.01E-009, 
 33.00,   2.56E-009, 
 33.10,   2.34E-009, 
 33.20,   2.30E-009, 
 33.30,   2.10E-009, 
 33.40,   1.66E-009, 
 33.50,   1.33E-009, 
 33.60,   1.49E-009, 
 33.70,   2.15E-009, 
 33.80,   3.21E-009, 
 33.90,   4.56E-009, 
 34.00,   5.41E-009, 
 34.10,   6.05E-009, 
 34.20,   5.97E-009, 
 34.30,   5.61E-009, 
 34.40,   3.84E-009, 
 34.50,   2.09E-009, 
 34.60,   1.04E-009, 
 34.70,   4.19E-010, 
 34.80,   2.76E-010, 
 34.90,   2.01E-010, 
 35.00,   2.06E-010, 
 35.10,   2.10E-010, 
 35.20,   1.24E-010, 
 35.30,   1.51E-010, 
 35.40,   1.53E-010, 
 35.50,   3.75E-010, 
 35.60,   5.62E-010, 
 35.70,   7.75E-010, 
 35.80,   1.23E-009, 
 35.90,   1.77E-009, 
 36.00,   1.93E-009, 
 36.10,   2.08E-009, 
 36.20,   2.22E-009, 
 36.30,   2.14E-009, 
 36.40,   1.25E-009, 
 36.50,   4.16E-010, 
 36.60,   3.12E-010, 
 36.70,   2.34E-010, 
 36.80,   2.02E-010, 
 36.90,   1.83E-010, 
 37.00,   2.28E-010, 
 37.10,   2.38E-010, 
 37.20,   2.04E-010, 
 37.30,   2.70E-010, 
 37.40,   1.97E-010, 
 37.50,   1.72E-010, 
 37.60,   3.30E-010, 
 37.70,   2.95E-010, 
 37.80,   3.16E-010, 
 37.90,   4.66E-010, 
 38.00,   5.88E-010, 
 38.10,   7.58E-010, 
 38.20,   7.76E-010, 
 38.30,   7.47E-010, 
 38.40,   6.18E-010, 
