Feb 03, 2020  01:49:45 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   5.54E-010, 
  1.10,   6.17E-010, 
  1.20,   1.55E-009, 
  1.30,   6.21E-009, 
  1.40,   1.39E-008, 
  1.50,   1.30E-008, 
  1.60,   1.00E-008, 
  1.70,   9.05E-009, 
  1.80,   9.90E-009, 
  1.90,   1.21E-008, 
  2.00,   1.38E-008, 
  2.10,   1.47E-008, 
  2.20,   1.44E-008, 
  2.30,   1.34E-008, 
  2.40,   1.11E-008, 
  2.50,   7.28E-009, 
  2.60,   4.40E-009, 
  2.70,   3.46E-009, 
  2.80,   3.33E-009, 
  2.90,   3.86E-009, 
  3.00,   5.17E-009, 
  3.10,   7.63E-009, 
  3.20,   1.29E-008, 
  3.30,   2.34E-008, 
  3.40,   4.88E-008, 
  3.50,   1.02E-007, 
  3.60,   1.67E-007, 
  3.70,   3.21E-007, 
  3.80,   6.05E-007, 
  3.90,   8.11E-007, 
  4.00,   9.01E-007, 
  4.10,   8.19E-007, 
  4.20,   8.05E-007, 
  4.30,   5.90E-007, 
  4.40,   3.04E-007, 
  4.50,   3.75E-008, 
  4.60,   1.13E-008, 
  4.70,   5.63E-009, 
  4.80,   3.23E-009, 
  4.90,   2.08E-009, 
  5.00,   1.46E-009, 
  5.10,   7.35E-010, 
  5.20,   5.90E-010, 
  5.30,   6.01E-010, 
  5.40,   4.08E-010, 
  5.50,   3.21E-010, 
  5.60,   3.23E-010, 
  5.70,   3.77E-010, 
  5.80,   3.84E-010, 
  5.90,   3.77E-010, 
  6.00,   2.70E-010, 
  6.10,   1.42E-010, 
  6.20,   1.18E-010, 
  6.30,   1.53E-010, 
  6.40,   9.31E-011, 
  6.50,   9.45E-011, 
  6.60,   7.98E-011, 
  6.70,   1.20E-010, 
  6.80,   1.67E-010, 
  6.90,   1.77E-010, 
  7.00,   1.33E-010, 
  7.10,  -2.17E-011, 
  7.20,   1.68E-011, 
  7.30,   6.58E-011, 
  7.40,   1.04E-010, 
  7.50,   1.51E-010, 
  7.60,   1.41E-010, 
  7.70,   6.79E-011, 
  7.80,   4.48E-011, 
  7.90,   8.26E-011, 
  8.00,   1.18E-010, 
  8.10,   2.03E-011, 
  8.20,   2.45E-011, 
  8.30,   1.06E-010, 
  8.40,  -1.75E-011, 
  8.50,  -7.63E-011, 
  8.60,   5.32E-011, 
  8.70,   1.30E-010, 
  8.80,   1.66E-010, 
  8.90,   1.40E-010, 
  9.00,   1.30E-010, 
  9.10,   2.59E-011, 
  9.20,   7.00E-011, 
  9.30,   1.33E-011, 
  9.40,  -4.27E-011, 
  9.50,  -1.34E-010, 
  9.60,  -6.23E-011, 
  9.70,   1.28E-010, 
  9.80,   1.34E-010, 
  9.90,   4.97E-011, 
 10.00,   4.55E-011, 
 10.10,   8.26E-011, 
 10.20,   7.42E-011, 
 10.30,   1.75E-011, 
 10.40,  -3.99E-011, 
 10.50,   1.82E-011, 
 10.60,   1.64E-010, 
 10.70,   9.03E-011, 
 10.80,  -3.22E-011, 
 10.90,  -7.42E-011, 
 11.00,  -5.88E-011, 
 11.10,   3.78E-011, 
 11.20,   6.09E-011, 
 11.30,   6.79E-011, 
 11.40,   1.03E-010, 
 11.50,   7.98E-011, 
 11.60,   1.43E-010, 
 11.70,   3.07E-010, 
 11.80,   5.05E-010, 
 11.90,   5.10E-010, 
 12.00,   6.02E-010, 
 12.10,   6.76E-010, 
 12.20,   6.30E-010, 
 12.30,   6.91E-010, 
 12.40,   5.62E-010, 
 12.50,   4.12E-010, 
 12.60,   2.78E-010, 
 12.70,   2.02E-010, 
 12.80,   1.72E-010, 
 12.90,   2.39E-010, 
 13.00,   4.10E-010, 
 13.10,   4.57E-010, 
 13.20,   6.83E-010, 
 13.30,   1.50E-009, 
 13.40,   2.95E-009, 
 13.50,   5.68E-009, 
 13.60,   1.30E-008, 
 13.70,   3.51E-008, 
 13.80,   8.23E-008, 
 13.90,   1.20E-007, 
 14.00,   1.32E-007, 
 14.10,   1.33E-007, 
 14.20,   1.22E-007, 
 14.30,   1.01E-007, 
 14.40,   5.55E-008, 
 14.50,   1.49E-008, 
 14.60,   6.48E-009, 
 14.70,   3.71E-009, 
 14.80,   2.71E-009, 
 14.90,   2.35E-009, 
 15.00,   2.14E-009, 
 15.10,   1.96E-009, 
 15.20,   2.07E-009, 
 15.30,   2.18E-009, 
 15.40,   2.38E-009, 
 15.50,   2.88E-009, 
 15.60,   4.97E-009, 
 15.70,   1.06E-008, 
 15.80,   2.23E-008, 
 15.90,   3.53E-008, 
 16.00,   4.22E-008, 
 16.10,   4.37E-008, 
 16.20,   4.20E-008, 
 16.30,   3.60E-008, 
 16.40,   2.34E-008, 
 16.50,   1.04E-008, 
 16.60,   7.77E-009, 
 16.70,   1.05E-008, 
 16.80,   1.92E-008, 
 16.90,   3.02E-008, 
 17.00,   3.74E-008, 
 17.10,   3.86E-008, 
 17.20,   3.80E-008, 
 17.30,   3.33E-008, 
 17.40,   2.51E-008, 
 17.50,   1.49E-008, 
 17.60,   1.89E-008, 
 17.70,   4.22E-008, 
 17.80,   9.25E-008, 
 17.90,   1.35E-007, 
 18.00,   1.55E-007, 
 18.10,   1.54E-007, 
 18.20,   1.48E-007, 
 18.30,   1.21E-007, 
 18.40,   7.32E-008, 
 18.50,   1.81E-008, 
 18.60,   7.19E-009, 
 18.70,   3.75E-009, 
 18.80,   2.34E-009, 
 18.90,   1.62E-009, 
 19.00,   1.00E-009, 
 19.10,   7.98E-010, 
 19.20,   7.32E-010, 
 19.30,   6.27E-010, 
 19.40,   5.56E-010, 
 19.50,   5.60E-010, 
 19.60,   5.93E-010, 
 19.70,   8.82E-010, 
 19.80,   1.76E-009, 
 19.90,   2.30E-009, 
 20.00,   2.85E-009, 
 20.10,   3.05E-009, 
 20.20,   3.23E-009, 
 20.30,   2.95E-009, 
 20.40,   2.39E-009, 
 20.50,   1.43E-009, 
 20.60,   5.00E-010, 
 20.70,   4.04E-010, 
 20.80,   3.56E-010, 
 20.90,   2.31E-010, 
 21.00,   1.77E-010, 
 21.10,   1.51E-010, 
 21.20,   3.99E-011, 
 21.30,   9.80E-012, 
 21.40,   3.78E-011, 
 21.50,   1.84E-010, 
 21.60,   1.72E-010, 
 21.70,   1.76E-010, 
 21.80,   1.68E-010, 
 21.90,   1.95E-010, 
 22.00,   1.30E-010, 
 22.10,   9.94E-011, 
 22.20,   1.02E-010, 
 22.30,   2.07E-010, 
 22.40,   1.77E-010, 
 22.50,   1.12E-010, 
 22.60,   1.20E-010, 
 22.70,   4.34E-011, 
 22.80,   5.46E-011, 
 22.90,   1.69E-010, 
 23.00,   6.58E-011, 
 23.10,   6.44E-011, 
 23.20,   1.33E-011, 
 23.30,  -3.08E-011, 
 23.40,   9.10E-012, 
 23.50,   5.81E-011, 
 23.60,   1.05E-011, 
 23.70,   2.80E-012, 
 23.80,   1.26E-011, 
 23.90,  -1.75E-011, 
 24.00,  -2.17E-011, 
 24.10,  -1.96E-011, 
 24.20,   6.65E-011, 
 24.30,   1.64E-010, 
 24.40,   1.07E-010, 
 24.50,   1.25E-010, 
 24.60,   1.67E-010, 
 24.70,   7.28E-011, 
 24.80,   1.30E-010, 
 24.90,   1.93E-010, 
 25.00,   3.14E-010, 
 25.10,   3.52E-010, 
 25.20,   3.53E-010, 
 25.30,   2.55E-010, 
 25.40,   2.25E-010, 
 25.50,   1.76E-010, 
 25.60,   1.80E-010, 
 25.70,   3.03E-010, 
 25.80,   4.12E-010, 
 25.90,   6.48E-010, 
 26.00,   8.32E-010, 
 26.10,   9.13E-010, 
 26.20,   1.27E-009, 
 26.30,   1.42E-009, 
 26.40,   1.04E-009, 
 26.50,   8.94E-010, 
 26.60,   8.76E-010, 
 26.70,   1.20E-009, 
 26.80,   1.92E-009, 
 26.90,   2.68E-009, 
 27.00,   4.02E-009, 
 27.10,   6.47E-009, 
 27.20,   1.07E-008, 
 27.30,   2.11E-008, 
 27.40,   5.12E-008, 
 27.50,   1.19E-007, 
 27.60,   2.73E-007, 
 27.70,   6.30E-007, 
 27.80,   1.15E-006, 
 27.90,   1.56E-006, 
 28.00,   1.80E-006, 
 28.10,   1.75E-006, 
 28.20,   1.75E-006, 
 28.30,   1.45E-006, 
 28.40,   8.74E-007, 
 28.50,   7.80E-008, 
 28.60,   1.72E-008, 
 28.70,   1.02E-008, 
 28.80,   9.40E-009, 
 28.90,   1.11E-008, 
 29.00,   1.34E-008, 
 29.10,   1.44E-008, 
 29.20,   1.49E-008, 
 29.30,   1.37E-008, 
 29.40,   1.16E-008, 
 29.50,   6.54E-009, 
 29.60,   3.33E-009, 
 29.70,   2.03E-009, 
 29.80,   1.47E-009, 
 29.90,   7.80E-010, 
 30.00,   8.13E-010, 
 30.10,   7.94E-010, 
 30.20,   7.49E-010, 
 30.30,   7.68E-010, 
 30.40,   6.65E-010, 
 30.50,   6.03E-010, 
 30.60,   5.81E-010, 
 30.70,   6.44E-010, 
 30.80,   6.50E-010, 
 30.90,   8.75E-010, 
 31.00,   1.45E-009, 
 31.10,   2.12E-009, 
 31.20,   2.98E-009, 
 31.30,   4.99E-009, 
 31.40,   1.02E-008, 
 31.50,   2.15E-008, 
 31.60,   5.02E-008, 
 31.70,   1.36E-007, 
 31.80,   2.56E-007, 
 31.90,   3.56E-007, 
 32.00,   4.03E-007, 
 32.10,   3.88E-007, 
 32.20,   3.82E-007, 
 32.30,   3.22E-007, 
 32.40,   2.02E-007, 
 32.50,   3.33E-008, 
 32.60,   1.06E-008, 
 32.70,   5.45E-009, 
 32.80,   3.35E-009, 
 32.90,   2.33E-009, 
 33.00,   1.79E-009, 
 33.10,   1.56E-009, 
 33.20,   1.40E-009, 
 33.30,   9.01E-010, 
 33.40,   7.35E-010, 
 33.50,   6.95E-010, 
 33.60,   6.54E-010, 
 33.70,   5.92E-010, 
 33.80,   8.68E-010, 
 33.90,   1.54E-009, 
 34.00,   1.89E-009, 
 34.10,   1.91E-009, 
 34.20,   1.84E-009, 
 34.30,   1.86E-009, 
 34.40,   1.75E-009, 
 34.50,   7.98E-010, 
 34.60,   3.78E-010, 
 34.70,   2.86E-010, 
 34.80,   2.82E-010, 
 34.90,   3.19E-010, 
 35.00,   4.05E-010, 
 35.10,   3.72E-010, 
 35.20,   3.98E-010, 
 35.30,   3.05E-010, 
 35.40,   1.97E-010, 
 35.50,   1.44E-010, 
 35.60,  -7.00E-012, 
 35.70,   3.36E-011, 
 35.80,   1.38E-010, 
 35.90,   2.14E-010, 
 36.00,   3.22E-010, 
 36.10,   4.43E-010, 
 36.20,   3.84E-010, 
 36.30,   3.47E-010, 
 36.40,   4.03E-010, 
 36.50,   3.54E-010, 
 36.60,   2.83E-010, 
 36.70,   2.02E-010, 
 36.80,   1.27E-010, 
 36.90,   2.65E-010, 
 37.00,   3.04E-010, 
 37.10,   2.30E-010, 
 37.20,   1.11E-010, 
 37.30,   9.45E-011, 
 37.40,   1.15E-010, 
 37.50,   1.45E-010, 
 37.60,   1.35E-010, 
 37.70,   2.65E-010, 
 37.80,   3.19E-010, 
 37.90,   3.33E-010, 
 38.00,   3.17E-010, 
 38.10,   2.61E-010, 
 38.20,   3.40E-010, 
 38.30,   3.63E-010, 
 38.40,   4.42E-010, 
 38.50,   3.54E-010, 
 38.60,   2.98E-010, 
 38.70,   2.58E-010, 
 38.80,   3.80E-010, 
