Feb 05, 2020  12:40:19 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


  1.00,   1.58E-008, 
  1.10,   1.86E-008, 
  1.20,   2.94E-008, 
  1.30,   7.66E-008, 
  1.40,   1.11E-007, 
  1.50,   7.77E-008, 
  1.60,   4.67E-008, 
  1.70,   3.37E-008, 
  1.80,   3.04E-008, 
  1.90,   3.18E-008, 
  2.00,   3.26E-008, 
  2.10,   3.32E-008, 
  2.20,   3.02E-008, 
  2.30,   2.70E-008, 
  2.40,   2.02E-008, 
  2.50,   1.10E-008, 
  2.60,   5.25E-009, 
  2.70,   2.76E-009, 
  2.80,   1.62E-009, 
  2.90,   9.82E-010, 
  3.00,   3.26E-010, 
  3.10,   2.61E-010, 
  3.20,   8.89E-011, 
  3.30,   4.20E-011, 
  3.40,   3.92E-011, 
  3.50,   5.32E-011, 
  3.60,  -9.66E-011, 
  3.70,  -1.16E-010, 
  3.80,  -1.04E-010, 
  3.90,  -1.66E-010, 
  4.00,  -1.88E-010, 
  4.10,  -1.22E-010, 
  4.20,  -9.24E-011, 
  4.30,  -2.02E-010, 
  4.40,  -2.65E-010, 
  4.50,  -2.28E-010, 
  4.60,  -1.55E-010, 
  4.70,  -1.61E-010, 
  4.80,  -1.85E-010, 
  4.90,  -2.31E-010, 
  5.00,  -2.47E-010, 
  5.10,  -2.30E-010, 
  5.20,  -2.70E-010, 
  5.30,  -2.17E-010, 
  5.40,  -1.95E-010, 
  5.50,  -2.98E-010, 
  5.60,  -2.50E-010, 
  5.70,  -1.51E-010, 
  5.80,  -1.61E-010, 
  5.90,  -2.39E-010, 
  6.00,  -2.59E-010, 
  6.10,  -3.16E-010, 
  6.20,  -2.70E-010, 
  6.30,  -2.99E-010, 
  6.40,  -1.50E-010, 
  6.50,  -1.07E-010, 
  6.60,  -2.18E-010, 
  6.70,  -3.09E-010, 
  6.80,  -1.72E-010, 
  6.90,  -1.52E-010, 
  7.00,  -1.56E-010, 
  7.10,  -2.14E-010, 
  7.20,  -1.52E-010, 
  7.30,  -1.41E-010, 
  7.40,  -1.55E-010, 
  7.50,  -1.91E-010, 
  7.60,  -1.52E-010, 
  7.70,  -1.90E-010, 
  7.80,  -1.04E-010, 
  7.90,  -9.59E-011, 
  8.00,  -1.24E-010, 
  8.10,  -1.88E-010, 
  8.20,  -2.83E-010, 
  8.30,  -3.39E-010, 
  8.40,  -2.83E-010, 
  8.50,  -2.40E-010, 
  8.60,  -2.16E-010, 
  8.70,  -1.09E-010, 
  8.80,  -1.19E-010, 
  8.90,  -2.28E-010, 
  9.00,  -2.75E-010, 
  9.10,  -2.94E-010, 
  9.20,  -2.63E-010, 
  9.30,  -3.17E-010, 
  9.40,  -3.64E-010, 
  9.50,  -3.34E-010, 
  9.60,  -3.66E-010, 
  9.70,  -2.98E-010, 
  9.80,  -2.54E-010, 
  9.90,  -2.90E-010, 
 10.00,  -2.94E-010, 
 10.10,  -3.40E-010, 
 10.20,  -3.25E-010, 
 10.30,  -3.21E-010, 
 10.40,  -4.20E-010, 
 10.50,  -3.49E-010, 
 10.60,  -3.19E-010, 
 10.70,  -3.47E-010, 
 10.80,  -2.59E-010, 
 10.90,  -2.29E-010, 
 11.00,  -1.55E-010, 
 11.10,  -1.81E-010, 
 11.20,  -1.74E-010, 
 11.30,  -2.87E-011, 
 11.40,   3.14E-010, 
 11.50,   1.10E-009, 
 11.60,   2.60E-009, 
 11.70,   6.44E-009, 
 11.80,   1.50E-008, 
 11.90,   2.62E-008, 
 12.00,   3.32E-008, 
 12.10,   3.40E-008, 
 12.20,   3.38E-008, 
 12.30,   2.89E-008, 
 12.40,   2.12E-008, 
 12.50,   1.20E-008, 
 12.60,   1.23E-008, 
 12.70,   2.54E-008, 
 12.80,   5.98E-008, 
 12.90,   9.61E-008, 
 13.00,   1.11E-007, 
 13.10,   1.08E-007, 
 13.20,   1.08E-007, 
 13.30,   9.06E-008, 
 13.40,   6.60E-008, 
 13.50,   3.47E-008, 
 13.60,   5.10E-008, 
 13.70,   1.37E-007, 
 13.80,   2.80E-007, 
 13.90,   3.99E-007, 
 14.00,   4.42E-007, 
 14.10,   4.31E-007, 
 14.20,   4.24E-007, 
 14.30,   3.55E-007, 
 14.40,   2.29E-007, 
 14.50,   9.71E-008, 
 14.60,   1.83E-007, 
 14.70,   4.75E-007, 
 14.80,   9.15E-007, 
 14.90,   1.34E-006, 
 15.00,   1.55E-006, 
 15.10,   1.45E-006, 
 15.20,   1.48E-006, 
 15.30,   1.17E-006, 
 15.40,   7.55E-007, 
 15.50,   1.69E-007, 
 15.60,   2.26E-007, 
 15.70,   5.79E-007, 
 15.80,   1.10E-006, 
 15.90,   1.61E-006, 
 16.00,   1.94E-006, 
 16.10,   1.82E-006, 
 16.20,   1.92E-006, 
 16.30,   1.48E-006, 
 16.40,   1.03E-006, 
 16.50,   1.55E-007, 
 16.60,   2.69E-008, 
 16.70,   2.25E-008, 
 16.80,   3.58E-008, 
 16.90,   5.72E-008, 
 17.00,   7.35E-008, 
 17.10,   7.17E-008, 
 17.20,   7.42E-008, 
 17.30,   6.18E-008, 
 17.40,   4.84E-008, 
 17.50,   2.48E-008, 
 17.60,   2.49E-008, 
 17.70,   5.75E-008, 
 17.80,   1.24E-007, 
 17.90,   1.89E-007, 
 18.00,   2.21E-007, 
 18.10,   2.10E-007, 
 18.20,   2.16E-007, 
 18.30,   1.71E-007, 
 18.40,   1.13E-007, 
 18.50,   2.88E-008, 
 18.60,   9.44E-009, 
 18.70,   4.70E-009, 
 18.80,   2.83E-009, 
 18.90,   1.97E-009, 
 19.00,   1.63E-009, 
 19.10,   1.46E-009, 
 19.20,   1.28E-009, 
 19.30,   1.12E-009, 
 19.40,   1.04E-009, 
 19.50,   9.00E-010, 
 19.60,   5.34E-010, 
 19.70,   1.66E-009, 
 19.80,   2.93E-009, 
 19.90,   4.75E-009, 
 20.00,   6.31E-009, 
 20.10,   6.88E-009, 
 20.20,   7.24E-009, 
 20.30,   6.50E-009, 
 20.40,   5.27E-009, 
 20.50,   2.90E-009, 
 20.60,   1.43E-009, 
 20.70,   4.91E-010, 
 20.80,   1.39E-010, 
 20.90,  -3.78E-011, 
 21.00,   2.38E-011, 
 21.10,  -4.48E-011, 
 21.20,  -1.49E-010, 
 21.30,  -1.30E-010, 
 21.40,  -2.21E-010, 
 21.50,  -1.76E-010, 
 21.60,  -5.11E-011, 
 21.70,   3.64E-011, 
 21.80,  -2.73E-011, 
 21.90,  -2.66E-011, 
 22.00,   2.87E-011, 
 22.10,   1.16E-010, 
 22.20,   1.81E-010, 
 22.30,   1.44E-010, 
 22.40,   1.44E-010, 
 22.50,   4.20E-012, 
 22.60,  -9.66E-011, 
 22.70,  -1.09E-010, 
 22.80,  -1.04E-010, 
 22.90,  -1.27E-010, 
 23.00,  -2.50E-010, 
 23.10,  -2.37E-010, 
 23.20,  -1.67E-010, 
 23.30,  -2.23E-010, 
 23.40,  -1.69E-010, 
 23.50,  -1.21E-010, 
 23.60,  -1.90E-010, 
 23.70,  -2.38E-010, 
 23.80,  -1.11E-010, 
 23.90,  -4.55E-011, 
 24.00,  -2.66E-011, 
 24.10,   4.20E-012, 
 24.20,   4.90E-011, 
 24.30,   1.76E-010, 
 24.40,   2.07E-010, 
 24.50,   1.12E-010, 
 24.60,  -8.19E-011, 
 24.70,   3.50E-011, 
 24.80,   1.81E-010, 
 24.90,   7.05E-010, 
 25.00,   1.31E-009, 
 25.10,   1.46E-009, 
 25.20,   1.55E-009, 
 25.30,   1.64E-009, 
 25.40,   1.57E-009, 
 25.50,   1.11E-009, 
 25.60,   4.32E-010, 
 25.70,   9.45E-010, 
 25.80,   1.85E-009, 
 25.90,   2.99E-009, 
 26.00,   4.34E-009, 
 26.10,   5.14E-009, 
 26.20,   5.58E-009, 
 26.30,   5.65E-009, 
 26.40,   5.24E-009, 
 26.50,   3.90E-009, 
 26.60,   2.83E-009, 
 26.70,   3.06E-009, 
 26.80,   4.82E-009, 
 26.90,   8.35E-009, 
 27.00,   1.34E-008, 
 27.10,   2.00E-008, 
 27.20,   3.12E-008, 
 27.30,   5.66E-008, 
 27.40,   1.15E-007, 
 27.50,   1.89E-007, 
 27.60,   3.90E-007, 
 27.70,   9.73E-007, 
 27.80,   1.82E-006, 
 27.90,   2.72E-006, 
 28.00,   3.35E-006, 
 28.10,   3.15E-006, 
 28.20,   3.36E-006, 
 28.30,   2.64E-006, 
 28.40,   1.97E-006, 
 28.50,   3.28E-007, 
 28.60,   3.15E-008, 
 28.70,   1.46E-008, 
 28.80,   1.35E-008, 
 28.90,   1.72E-008, 
 29.00,   2.28E-008, 
 29.10,   2.46E-008, 
 29.20,   2.59E-008, 
 29.30,   2.35E-008, 
 29.40,   1.99E-008, 
 29.50,   1.17E-008, 
 29.60,   5.47E-009, 
 29.70,   2.85E-009, 
 29.80,   1.76E-009, 
 29.90,   1.22E-009, 
 30.00,   1.20E-009, 
 30.10,   1.06E-009, 
 30.20,   1.03E-009, 
 30.30,   8.38E-010, 
 30.40,   5.46E-010, 
 30.50,   7.89E-010, 
 30.60,   1.12E-009, 
 30.70,   1.29E-009, 
 30.80,   1.85E-009, 
 30.90,   3.00E-009, 
 31.00,   4.65E-009, 
 31.10,   6.34E-009, 
 31.20,   8.95E-009, 
 31.30,   1.36E-008, 
 31.40,   2.35E-008, 
 31.50,   3.69E-008, 
 31.60,   7.63E-008, 
 31.70,   2.06E-007, 
 31.80,   3.93E-007, 
 31.90,   5.97E-007, 
 32.00,   7.36E-007, 
 32.10,   6.89E-007, 
 32.20,   7.38E-007, 
 32.30,   5.81E-007, 
 32.40,   4.34E-007, 
 32.50,   9.69E-008, 
 32.60,   1.78E-008, 
 32.70,   7.84E-009, 
 32.80,   4.62E-009, 
 32.90,   3.35E-009, 
 33.00,   3.13E-009, 
 33.10,   3.01E-009, 
 33.20,   2.94E-009, 
 33.30,   2.69E-009, 
 33.40,   2.39E-009, 
 33.50,   1.72E-009, 
 33.60,   1.13E-009, 
 33.70,   6.31E-010, 
 33.80,   9.24E-010, 
 33.90,   1.62E-009, 
 34.00,   2.21E-009, 
 34.10,   2.62E-009, 
 34.20,   2.86E-009, 
 34.30,   2.83E-009, 
 34.40,   2.46E-009, 
 34.50,   1.65E-009, 
 34.60,   9.29E-010, 
 34.70,   2.46E-010, 
 34.80,   1.96E-010, 
 34.90,   1.06E-010, 
 35.00,   2.45E-011, 
 35.10,  -3.08E-011, 
 35.20,   1.61E-011, 
 35.30,  -2.24E-011, 
 35.40,  -7.42E-011, 
 35.50,  -8.47E-011, 
 35.60,  -2.59E-011, 
 35.70,   5.81E-011, 
 35.80,   5.74E-011, 
 35.90,   7.91E-011, 
 36.00,   1.04E-010, 
 36.10,   1.85E-010, 
 36.20,   2.48E-010, 
 36.30,   2.52E-010, 
 36.40,   1.98E-010, 
 36.50,   1.51E-010, 
 36.60,   1.48E-010, 
 36.70,   3.36E-011, 
 36.80,  -2.45E-011, 
 36.90,  -1.82E-011, 
 37.00,  -7.00E-013, 
 37.10,   1.96E-011, 
 37.20,   3.71E-011, 
 37.30,   9.10E-011, 
 37.40,   1.17E-010, 
 37.50,   1.40E-010, 
 37.60,  -1.47E-011, 
 37.70,  -3.15E-011, 
 37.80,   4.76E-011, 
 37.90,   5.11E-011, 
 38.00,   7.00E-011, 
 38.10,   9.10E-011, 
