Current [A],Field [G],Meas Curr [A],Res Freq [MHz],Curr Unc [A],Freq Unc [MHz],Meas Curr [A],Res Freq [MHz],Curr Unc [A],Freq Unc [MHz]
0.997,-1376,3.01,17.4408,0.003,0.0001,3.062,16.4552,0.003,0.0001
1.083,-1475,3.067,17.5049,0.003,0.0001,3.099,16.6022,0.003,0.0001
1.183,-1596,3.113,17.7707,0.003,0.0001,3.127,16.6174,0.003,0.0001
1.305,-1755,3.159,17.8022,0.003,0.0001,3.16,16.7269,0.003,0.0001
1.391,-1866,3.23,18.1159,0.003,0.0001,3.227,16.9388,0.003,0.0001
1.483,-1985,3.3,18.3992,0.003,0.0001,3.306,17.2044,0.003,0.0001
1.569,-2096,3.407,18.7515,0.003,0.0001,3.412,17.62,0.003,0.0001
1.681,-2246,3.088,17.6435,0.003,0.0001,,,,
1.811,-2408,3.29,18.2388,0.003,0.0001,,,,
2.011,-2673,3.321,18.6703,0.003,0.0001,,,,
2.09,-2781,3.018,17.4722,0.003,0.0001,,,,
2.206,-2924,3.467,18.9496,0.003,0.0001,,,,
2.289,-3040,3.417,18.8745,0.003,0.0001,,,,
2.405,-3187,3.347,18.6539,0.003,0.0001,,,,
2.503,-3315,3.276,18.3889,0.003,0.0001,,,,
2.599,-3426,3.313,18.5307,0.003,0.0001,,,,
2.72,-3569,3.381,18.6898,0.003,0.0001,,,,
2.811,-3671,3.468,19.0514,0.003,0.0001,,,,
2.981,-3863,,,,,,,,
