Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 14:46:10

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
98	105	2.811	4792	5233	101.74	1.57	GOOD
105	115	2.834	3848	4509	109.90	1.87	GOOD

Spectral Data Information
Channel	Data
0	23
1	0
2	0
3	10652
4	615
5	79
6	40
7	42
8	35
9	35
10	37
11	33
12	27
13	22
14	19
15	30
16	14
17	25
18	16
19	28
20	15
21	17
22	17
23	14
24	33
25	18
26	24
27	18
28	19
29	20
30	17
31	20
32	16
33	14
34	24
35	17
36	16
37	29
38	14
39	22
40	22
41	27
42	42
43	34
44	35
45	43
46	86
47	125
48	100
49	33
50	41
51	40
52	38
53	17
54	26
55	21
56	25
57	26
58	17
59	14
60	12
61	18
62	18
63	17
64	18
65	12
66	19
67	19
68	15
69	19
70	21
71	23
72	19
73	17
74	17
75	22
76	17
77	21
78	27
79	23
80	24
81	25
82	32
83	30
84	36
85	37
86	30
87	33
88	37
89	35
90	55
91	50
92	57
93	52
94	65
95	60
96	57
97	49
98	67
99	163
100	646
101	1350
102	1730
103	1023
104	321
105	80
106	93
107	260
108	665
109	1143
110	904
111	480
112	399
113	357
114	208
115	67
116	12
117	8
118	14
119	22
120	43
121	68
122	52
123	40
124	18
125	26
126	8
127	6
128	5
129	7
130	2
131	6
132	7
133	5
134	9
135	6
136	7
137	3
138	8
139	7
140	4
141	6
142	5
143	5
144	2
145	7
146	10
147	11
148	6
149	8
150	5
151	6
152	4
153	5
154	5
155	4
156	4
157	2
158	7
159	5
160	4
161	12
162	6
163	8
164	5
165	5
166	9
167	10
168	10
169	9
170	9
171	9
172	8
173	11
174	5
175	16
176	15
177	16
178	9
179	16
180	11
181	5
182	7
183	6
184	6
185	9
186	8
187	3
188	1
189	13
190	8
191	11
192	8
193	9
194	9
195	3
196	6
197	12
198	6
199	7
200	12
201	6
202	10
203	10
204	5
205	10
206	9
207	9
208	12
209	16
210	8
211	12
212	17
213	12
214	20
215	14
216	11
217	8
218	3
219	5
220	16
221	7
222	12
223	5
224	7
225	10
226	7
227	4
228	2
229	2
230	1
231	0
232	1
233	1
234	3
235	3
236	1
237	2
238	7
239	2
240	3
241	3
242	1
243	2
244	4
245	5
246	0
247	3
248	2
249	7
250	3
251	4
252	3
253	22
254	1
255	3
256	1
257	4
258	2
259	7
260	4
261	5
262	2
263	6
264	3
265	3
266	2
267	3
268	2
269	5
270	1
271	0
272	2
273	2
274	1
275	2
276	0
277	1
278	1
279	1
280	8
281	1
282	0
283	1
284	1
285	0
286	1
287	0
288	3
289	1
290	3
291	0
292	0
293	2
294	1
295	2
296	1
297	2
298	3
299	1
300	1
301	2
302	2
303	1
304	3
305	0
306	1
307	1
308	0
309	0
310	2
311	0
312	5
313	3
314	1
315	2
316	1
317	1
318	3
319	2
320	2
321	1
322	4
323	0
324	0
325	1
326	1
327	0
328	0
329	2
330	1
331	1
332	0
333	1
334	1
335	0
336	2
337	0
338	0
339	0
340	0
341	0
342	0
343	2
344	0
345	1
346	0
347	2
348	0
349	1
350	2
351	2
352	0
353	0
354	0
355	2
356	1
357	1
358	0
359	0
360	0
361	1
362	1
363	0
364	0
365	1
366	0
367	0
368	0
369	1
370	1
371	1
372	2
373	2
374	1
375	1
376	240
377	432
378	1
379	0
380	0
381	11
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	11
510	0
511	0
