Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 13:39:32

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
96	107	2.762	2369	2484	101.75	2.15	GOOD
108	119	2.901	431	476	112.49	5.30	GOOD
194	195	0.000	0	0	0	0	BAD

Spectral Data Information
Channel	Data
0	3
1	0
2	0
3	3209
4	135
5	24
6	12
7	13
8	11
9	16
10	9
11	21
12	7
13	4
14	7
15	7
16	7
17	8
18	1
19	4
20	5
21	6
22	3
23	3
24	2
25	5
26	4
27	5
28	5
29	9
30	4
31	9
32	7
33	4
34	8
35	7
36	9
37	8
38	3
39	3
40	10
41	5
42	9
43	18
44	13
45	11
46	32
47	49
48	36
49	14
50	7
51	14
52	11
53	7
54	5
55	4
56	5
57	9
58	4
59	5
60	4
61	5
62	5
63	4
64	3
65	6
66	4
67	5
68	4
69	7
70	3
71	3
72	4
73	3
74	3
75	2
76	5
77	6
78	9
79	6
80	12
81	11
82	5
83	12
84	13
85	15
86	8
87	7
88	11
89	7
90	14
91	13
92	20
93	8
94	18
95	14
96	18
97	13
98	24
99	76
100	265
101	668
102	813
103	454
104	128
105	31
106	12
107	5
108	8
109	11
110	29
111	70
112	134
113	134
114	63
115	19
116	6
117	4
118	6
119	1
120	1
121	2
122	0
123	1
124	2
125	5
126	2
127	0
128	3
129	1
130	0
131	1
132	0
133	2
134	1
135	1
136	0
137	1
138	2
139	1
140	2
141	1
142	1
143	0
144	3
145	2
146	2
147	1
148	3
149	0
150	0
151	2
152	0
153	2
154	0
155	1
156	0
157	3
158	0
159	2
160	1
161	3
162	3
163	2
164	1
165	2
166	1
167	2
168	5
169	3
170	7
171	4
172	4
173	1
174	2
175	3
176	10
177	11
178	4
179	3
180	5
181	1
182	1
183	5
184	2
185	3
186	1
187	3
188	1
189	3
190	2
191	2
192	0
193	2
194	1
195	2
196	0
197	3
198	1
199	3
200	3
201	2
202	1
203	0
204	3
205	2
206	1
207	0
208	4
209	6
210	4
211	3
212	2
213	5
214	5
215	3
216	6
217	4
218	2
219	1
220	3
221	0
222	4
223	3
224	2
225	5
226	0
227	5
228	1
229	1
230	0
231	1
232	1
233	0
234	0
235	1
236	0
237	1
238	0
239	0
240	1
241	0
242	0
243	1
244	0
245	1
246	0
247	0
248	1
249	3
250	0
251	0
252	0
253	6
254	2
255	0
256	0
257	0
258	1
259	1
260	0
261	0
262	3
263	0
264	2
265	1
266	0
267	0
268	0
269	0
270	2
271	1
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	1
285	0
286	0
287	0
288	1
289	1
290	0
291	2
292	1
293	0
294	0
295	0
296	0
297	0
298	2
299	1
300	1
301	2
302	0
303	2
304	0
305	0
306	0
307	1
308	1
309	1
310	0
311	1
312	1
313	0
314	0
315	0
316	0
317	1
318	0
319	0
320	0
321	1
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	1
330	1
331	0
332	0
333	2
334	0
335	0
336	0
337	0
338	0
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	1
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	2
369	0
370	0
371	1
372	0
373	0
374	0
375	0
376	31
377	91
378	0
379	0
380	0
381	5
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	5
510	0
511	0
