Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 13:33:50

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
74	86	3.028	430	457	81.07	5.12	GOOD
86	94	2.708	110	120	89.58	10.43	GOOD

Spectral Data Information
Channel	Data
0	3
1	0
2	0
3	3324
4	164
5	12
6	7
7	3
8	7
9	10
10	6
11	11
12	1
13	4
14	3
15	5
16	1
17	3
18	4
19	2
20	1
21	5
22	0
23	3
24	2
25	3
26	0
27	3
28	2
29	1
30	3
31	0
32	2
33	2
34	4
35	0
36	3
37	2
38	2
39	1
40	4
41	7
42	6
43	4
44	5
45	11
46	12
47	34
48	21
49	10
50	6
51	11
52	4
53	4
54	1
55	2
56	3
57	2
58	1
59	3
60	2
61	0
62	1
63	0
64	1
65	1
66	1
67	4
68	0
69	1
70	1
71	1
72	1
73	2
74	4
75	2
76	2
77	4
78	7
79	26
80	115
81	141
82	122
83	29
84	8
85	1
86	1
87	2
88	17
89	38
90	39
91	17
92	4
93	3
94	2
95	6
96	2
97	1
98	1
99	2
100	1
101	1
102	2
103	3
104	1
105	1
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	1
115	0
116	1
117	1
118	0
119	1
120	2
121	0
122	2
123	1
124	1
125	12
126	0
127	0
128	3
129	1
130	2
131	0
132	2
133	1
134	4
135	1
136	2
137	0
138	1
139	2
140	2
141	1
142	1
143	1
144	2
145	1
146	1
147	3
148	0
149	1
150	0
151	1
152	1
153	0
154	0
155	1
156	0
157	2
158	2
159	8
160	8
161	4
162	3
163	1
164	3
165	1
166	2
167	6
168	3
169	2
170	0
171	3
172	2
173	0
174	3
175	4
176	3
177	1
178	3
179	1
180	2
181	0
182	1
183	1
184	3
185	3
186	5
187	1
188	3
189	1
190	3
191	1
192	2
193	3
194	1
195	2
196	3
197	4
198	4
199	0
200	2
201	1
202	1
203	3
204	4
205	3
206	4
207	5
208	4
209	5
210	6
211	6
212	6
213	13
214	4
215	4
216	3
217	2
218	4
219	3
220	1
221	2
222	5
223	2
224	3
225	5
226	3
227	0
228	2
229	2
230	0
231	1
232	4
233	0
234	0
235	0
236	0
237	2
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	2
246	1
247	1
248	2
249	1
250	0
251	1
252	0
253	4
254	2
255	0
256	0
257	0
258	2
259	1
260	1
261	0
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	0
271	1
272	1
273	0
274	0
275	0
276	1
277	0
278	1
279	1
280	0
281	0
282	2
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	1
291	0
292	0
293	1
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	1
302	0
303	0
304	1
305	0
306	0
307	1
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	1
316	1
317	0
318	0
319	1
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	1
328	0
329	0
330	0
331	2
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	1
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	1
364	1
365	0
366	0
367	0
368	0
369	0
370	1
371	0
372	0
373	0
374	0
375	0
376	24
377	54
378	0
379	0
380	0
381	5
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	1
510	0
511	0
