Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 14:49:35

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
118	128	4.126	197	264	123.13	9.27	GOOD
129	139	2.030	132	240	132.74	14.13	GOOD
140	152	3.832	166	248	145.36	10.98	GOOD
153	165	3.938	202	268	159.19	9.05	GOOD

Spectral Data Information
Channel	Data
0	12
1	0
2	0
3	10968
4	601
5	49
6	22
7	9
8	23
9	12
10	23
11	31
12	18
13	5
14	13
15	11
16	3
17	5
18	7
19	5
20	5
21	12
22	4
23	8
24	4
25	9
26	6
27	6
28	8
29	8
30	10
31	11
32	4
33	6
34	9
35	8
36	5
37	6
38	13
39	3
40	6
41	14
42	14
43	21
44	18
45	17
46	72
47	83
48	65
49	22
50	20
51	22
52	12
53	8
54	5
55	14
56	6
57	5
58	5
59	11
60	10
61	6
62	6
63	3
64	8
65	6
66	4
67	8
68	8
69	9
70	6
71	7
72	8
73	6
74	3
75	4
76	8
77	5
78	5
79	14
80	12
81	10
82	9
83	11
84	6
85	5
86	3
87	5
88	11
89	6
90	8
91	4
92	5
93	10
94	11
95	9
96	15
97	2
98	6
99	7
100	11
101	10
102	14
103	9
104	12
105	6
106	10
107	9
108	9
109	9
110	9
111	6
112	13
113	9
114	12
115	8
116	7
117	12
118	8
119	10
120	15
121	33
122	39
123	61
124	36
125	47
126	12
127	11
128	7
129	12
130	13
131	23
132	44
133	69
134	36
135	25
136	10
137	13
138	7
139	12
140	12
141	10
142	12
143	32
144	38
145	46
146	50
147	23
148	12
149	10
150	9
151	6
152	3
153	6
154	14
155	12
156	14
157	21
158	36
159	44
160	51
161	32
162	24
163	11
164	9
165	6
166	11
167	10
168	16
169	21
170	17
171	15
172	8
173	12
174	12
175	21
176	14
177	14
178	11
179	20
180	11
181	8
182	14
183	6
184	12
185	8
186	17
187	10
188	10
189	7
190	15
191	11
192	13
193	5
194	4
195	11
196	7
197	8
198	6
199	13
200	15
201	16
202	13
203	19
204	18
205	16
206	17
207	21
208	19
209	16
210	28
211	20
212	27
213	13
214	18
215	22
216	16
217	11
218	9
219	10
220	8
221	9
222	12
223	26
224	21
225	13
226	11
227	3
228	3
229	3
230	2
231	4
232	2
233	0
234	4
235	4
236	4
237	0
238	1
239	2
240	4
241	6
242	6
243	5
244	8
245	12
246	7
247	6
248	10
249	1
250	8
251	3
252	10
253	23
254	2
255	3
256	2
257	1
258	5
259	6
260	9
261	5
262	5
263	5
264	2
265	1
266	1
267	4
268	3
269	0
270	1
271	3
272	1
273	2
274	3
275	2
276	3
277	2
278	3
279	4
280	2
281	2
282	0
283	2
284	2
285	2
286	0
287	1
288	0
289	1
290	3
291	2
292	2
293	0
294	1
295	0
296	3
297	2
298	1
299	1
300	4
301	2
302	0
303	3
304	3
305	3
306	5
307	1
308	3
309	0
310	5
311	2
312	2
313	2
314	2
315	3
316	4
317	0
318	0
319	4
320	0
321	1
322	1
323	1
324	2
325	1
326	0
327	1
328	0
329	1
330	1
331	1
332	1
333	5
334	2
335	1
336	0
337	1
338	0
339	0
340	2
341	0
342	0
343	0
344	0
345	3
346	1
347	0
348	0
349	0
350	0
351	0
352	0
353	1
354	1
355	0
356	2
357	0
358	2
359	0
360	0
361	0
362	0
363	1
364	1
365	0
366	0
367	0
368	0
369	0
370	0
371	1
372	1
373	1
374	0
375	0
376	143
377	318
378	0
379	0
380	0
381	10
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	8
510	0
511	0
