Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 14:44:41

Spectral Data Information
Channel	Data
0	19
1	0
2	0
3	11596
4	644
5	69
6	43
7	60
8	39
9	34
10	53
11	45
12	39
13	35
14	31
15	23
16	28
17	28
18	20
19	22
20	21
21	24
22	37
23	15
24	32
25	22
26	14
27	22
28	21
29	26
30	24
31	22
32	26
33	24
34	24
35	24
36	24
37	22
38	19
39	23
40	27
41	24
42	43
43	49
44	41
45	45
46	83
47	135
48	93
49	43
50	43
51	36
52	29
53	29
54	18
55	15
56	22
57	29
58	28
59	25
60	13
61	16
62	15
63	18
64	17
65	20
66	24
67	21
68	21
69	22
70	24
71	24
72	18
73	11
74	21
75	26
76	26
77	27
78	11
79	15
80	21
81	26
82	16
83	21
84	19
85	26
86	24
87	25
88	23
89	20
90	23
91	25
92	29
93	21
94	32
95	40
96	37
97	34
98	23
99	25
100	31
101	29
102	38
103	34
104	41
105	36
106	28
107	35
108	38
109	51
110	72
111	68
112	61
113	91
114	91
115	106
116	136
117	95
118	83
119	85
120	61
121	65
122	48
123	62
124	74
125	91
126	70
127	76
128	71
129	98
130	169
131	406
132	960
133	1457
134	1249
135	719
136	266
137	130
138	89
139	84
140	71
141	59
142	88
143	86
144	77
145	74
146	61
147	64
148	59
149	70
150	61
151	76
152	86
153	90
154	143
155	192
156	200
157	337
158	790
159	1199
160	1106
161	697
162	319
163	139
164	96
165	66
166	56
167	44
168	35
169	34
170	23
171	21
172	12
173	15
174	21
175	37
176	29
177	48
178	30
179	24
180	16
181	19
182	19
183	24
184	51
185	88
186	140
187	109
188	67
189	44
190	49
191	59
192	47
193	25
194	17
195	9
196	9
197	12
198	17
199	28
200	12
201	15
202	14
203	10
204	8
205	10
206	22
207	18
208	12
209	14
210	17
211	20
212	23
213	25
214	24
215	15
216	19
217	12
218	6
219	7
220	11
221	12
222	7
223	21
224	19
225	20
226	9
227	11
228	5
229	6
230	9
231	7
232	5
233	4
234	5
235	4
236	3
237	5
238	10
239	8
240	6
241	1
242	5
243	4
244	2
245	4
246	10
247	3
248	6
249	4
250	6
251	4
252	5
253	22
254	8
255	2
256	5
257	3
258	4
259	5
260	4
261	8
262	3
263	11
264	11
265	11
266	2
267	5
268	3
269	5
270	5
271	5
272	6
273	1
274	7
275	8
276	3
277	1
278	3
279	5
280	5
281	5
282	4
283	4
284	4
285	1
286	5
287	4
288	1
289	1
290	4
291	2
292	2
293	2
294	4
295	3
296	3
297	2
298	5
299	1
300	4
301	2
302	4
303	3
304	4
305	4
306	1
307	7
308	2
309	6
310	2
311	1
312	0
313	4
314	4
315	3
316	2
317	5
318	5
319	2
320	2
321	0
322	2
323	3
324	1
325	1
326	3
327	2
328	0
329	6
330	5
331	0
332	2
333	0
334	1
335	2
336	2
337	0
338	3
339	0
340	0
341	0
342	4
343	2
344	0
345	0
346	1
347	2
348	2
349	0
350	1
351	1
352	1
353	1
354	0
355	0
356	2
357	0
358	1
359	1
360	0
361	1
362	0
363	2
364	0
365	1
366	0
367	0
368	1
369	0
370	0
371	1
372	1
373	0
374	1
375	1
376	125
377	268
378	2
379	0
380	0
381	19
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	7
510	0
511	0
