Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 13:56:17

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
214	228	3.726	15540	17802	220.03	0.91	GOOD
243	254	3.459	2563	3128	247.68	2.37	GOOD

Spectral Data Information
Channel	Data
0	27
1	0
2	0
3	12705
4	940
5	186
6	122
7	97
8	98
9	66
10	82
11	89
12	74
13	63
14	55
15	53
16	58
17	54
18	46
19	57
20	55
21	45
22	43
23	47
24	40
25	55
26	45
27	40
28	47
29	37
30	40
31	42
32	39
33	33
34	39
35	31
36	37
37	46
38	45
39	40
40	58
41	66
42	84
43	64
44	58
45	53
46	119
47	131
48	111
49	66
50	59
51	55
52	39
53	41
54	31
55	28
56	49
57	36
58	33
59	33
60	43
61	48
62	28
63	36
64	31
65	45
66	34
67	35
68	38
69	46
70	44
71	27
72	38
73	32
74	36
75	39
76	28
77	39
78	36
79	47
80	35
81	34
82	40
83	36
84	29
85	39
86	47
87	43
88	35
89	42
90	39
91	38
92	55
93	47
94	54
95	69
96	60
97	54
98	36
99	51
100	47
101	51
102	31
103	39
104	56
105	48
106	58
107	45
108	42
109	36
110	55
111	40
112	46
113	58
114	34
115	35
116	51
117	32
118	35
119	48
120	45
121	37
122	32
123	48
124	57
125	106
126	43
127	42
128	51
129	51
130	42
131	39
132	49
133	51
134	43
135	46
136	50
137	56
138	48
139	66
140	39
141	45
142	62
143	41
144	69
145	56
146	60
147	59
148	44
149	58
150	55
151	62
152	60
153	63
154	59
155	61
156	84
157	53
158	53
159	63
160	70
161	72
162	74
163	72
164	85
165	62
166	72
167	71
168	92
169	96
170	100
171	74
172	93
173	107
174	89
175	101
176	115
177	141
178	127
179	157
180	167
181	217
182	301
183	378
184	404
185	425
186	411
187	355
188	386
189	287
190	312
191	261
192	269
193	235
194	251
195	221
196	203
197	235
198	209
199	201
200	221
201	211
202	192
203	213
204	235
205	224
206	221
207	248
208	267
209	242
210	223
211	254
212	236
213	253
214	259
215	269
216	392
217	881
218	1894
219	3239
220	4100
221	3506
222	2020
223	811
224	311
225	152
226	127
227	100
228	89
229	67
230	80
231	76
232	60
233	61
234	65
235	55
236	47
237	53
238	50
239	39
240	65
241	54
242	64
243	69
244	136
245	245
246	516
247	687
248	606
249	357
250	192
251	119
252	139
253	131
254	44
255	33
256	20
257	23
258	15
259	23
260	20
261	17
262	18
263	10
264	17
265	13
266	18
267	16
268	12
269	16
270	23
271	16
272	19
273	14
274	12
275	11
276	10
277	16
278	14
279	13
280	15
281	9
282	11
283	9
284	12
285	17
286	12
287	13
288	9
289	13
290	10
291	5
292	3
293	13
294	5
295	13
296	13
297	15
298	8
299	9
300	11
301	9
302	8
303	14
304	10
305	15
306	9
307	11
308	8
309	15
310	12
311	17
312	14
313	11
314	8
315	4
316	11
317	15
318	11
319	10
320	9
321	13
322	8
323	13
324	9
325	9
326	8
327	5
328	8
329	5
330	13
331	15
332	9
333	13
334	9
335	10
336	11
337	8
338	8
339	9
340	13
341	14
342	7
343	16
344	11
345	12
346	9
347	14
348	11
349	13
350	13
351	10
352	5
353	11
354	6
355	5
356	11
357	9
358	8
359	9
360	17
361	7
362	10
363	15
364	12
365	6
366	11
367	8
368	14
369	10
370	8
371	8
372	7
373	14
374	9
375	15
376	324
377	835
378	0
379	0
380	0
381	29
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	22
510	0
511	0
