Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 13:43:27

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
88	99	2.663	1326	1406	94.61	2.91	GOOD
100	109	3.269	281	313	104.59	6.61	GOOD

Spectral Data Information
Channel	Data
0	5
1	0
2	0
3	3139
4	163
5	15
6	9
7	8
8	7
9	7
10	12
11	9
12	5
13	4
14	2
15	5
16	3
17	1
18	5
19	3
20	4
21	2
22	3
23	3
24	2
25	2
26	3
27	7
28	2
29	4
30	1
31	4
32	5
33	0
34	5
35	6
36	3
37	4
38	4
39	3
40	2
41	6
42	5
43	7
44	7
45	10
46	24
47	26
48	21
49	8
50	14
51	9
52	8
53	0
54	3
55	0
56	6
57	0
58	3
59	1
60	4
61	5
62	2
63	5
64	2
65	3
66	5
67	2
68	7
69	2
70	3
71	3
72	6
73	1
74	2
75	2
76	4
77	9
78	4
79	3
80	12
81	3
82	5
83	3
84	6
85	5
86	9
87	10
88	11
89	11
90	4
91	19
92	40
93	166
94	409
95	470
96	230
97	48
98	9
99	5
100	7
101	7
102	13
103	45
104	92
105	76
106	64
107	15
108	1
109	1
110	1
111	0
112	0
113	1
114	1
115	0
116	0
117	0
118	1
119	0
120	0
121	1
122	1
123	2
124	1
125	7
126	3
127	2
128	1
129	0
130	1
131	3
132	4
133	1
134	2
135	0
136	1
137	0
138	2
139	0
140	1
141	1
142	0
143	0
144	0
145	2
146	1
147	3
148	2
149	2
150	0
151	2
152	0
153	0
154	2
155	3
156	1
157	2
158	5
159	3
160	6
161	0
162	2
163	1
164	2
165	2
166	0
167	4
168	4
169	1
170	2
171	3
172	2
173	2
174	0
175	1
176	3
177	5
178	9
179	3
180	3
181	1
182	2
183	1
184	1
185	1
186	2
187	3
188	1
189	0
190	3
191	5
192	1
193	0
194	3
195	1
196	1
197	3
198	2
199	6
200	2
201	1
202	1
203	2
204	3
205	2
206	8
207	2
208	3
209	4
210	4
211	4
212	7
213	4
214	8
215	7
216	2
217	6
218	2
219	2
220	3
221	1
222	4
223	3
224	7
225	6
226	0
227	1
228	0
229	1
230	0
231	1
232	0
233	2
234	0
235	1
236	1
237	1
238	2
239	0
240	1
241	0
242	1
243	2
244	1
245	1
246	1
247	1
248	1
249	2
250	2
251	1
252	2
253	2
254	0
255	1
256	0
257	0
258	0
259	1
260	1
261	0
262	0
263	1
264	0
265	2
266	0
267	1
268	0
269	0
270	0
271	0
272	1
273	1
274	0
275	0
276	0
277	1
278	1
279	0
280	0
281	2
282	0
283	1
284	0
285	0
286	0
287	0
288	0
289	0
290	1
291	0
292	0
293	1
294	0
295	0
296	0
297	1
298	1
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	1
307	0
308	0
309	0
310	0
311	0
312	0
313	0
314	0
315	1
316	0
317	1
318	0
319	0
320	1
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	2
332	0
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	1
368	0
369	0
370	1
371	0
372	0
373	0
374	0
375	1
376	20
377	54
378	0
379	0
380	0
381	5
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	2
510	0
511	0
