Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 14:57:32

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
76	85	2.886	549	617	81.19	4.77	GOOD
86	92	2.537	105	137	89.16	12.46	GOOD
92	98	0.000	91	111	94.44	12.58	MARGINAL

Spectral Data Information
Channel	Data
0	18
1	0
2	0
3	11379
4	578
5	54
6	20
7	10
8	14
9	12
10	16
11	30
12	9
13	4
14	3
15	2
16	8
17	1
18	6
19	0
20	5
21	3
22	2
23	5
24	2
25	5
26	7
27	4
28	6
29	4
30	7
31	6
32	1
33	4
34	5
35	2
36	4
37	6
38	3
39	7
40	5
41	8
42	19
43	20
44	19
45	30
46	61
47	88
48	61
49	28
50	25
51	19
52	18
53	8
54	5
55	6
56	6
57	4
58	4
59	5
60	2
61	4
62	4
63	7
64	5
65	1
66	2
67	11
68	23
69	23
70	16
71	7
72	4
73	10
74	9
75	9
76	13
77	9
78	8
79	45
80	125
81	197
82	161
83	65
84	7
85	4
86	7
87	10
88	28
89	47
90	40
91	12
92	6
93	23
94	33
95	38
96	10
97	7
98	2
99	3
100	1
101	5
102	3
103	9
104	8
105	9
106	3
107	6
108	1
109	4
110	3
111	2
112	3
113	4
114	0
115	0
116	1
117	1
118	3
119	0
120	2
121	2
122	2
123	3
124	2
125	12
126	7
127	3
128	5
129	2
130	2
131	4
132	3
133	6
134	8
135	4
136	3
137	2
138	1
139	1
140	1
141	2
142	4
143	5
144	6
145	2
146	3
147	4
148	2
149	2
150	4
151	3
152	2
153	2
154	5
155	4
156	6
157	6
158	17
159	10
160	23
161	11
162	5
163	5
164	6
165	9
166	4
167	7
168	6
169	7
170	3
171	12
172	3
173	4
174	3
175	9
176	14
177	11
178	14
179	8
180	5
181	7
182	6
183	6
184	5
185	3
186	6
187	8
188	5
189	5
190	5
191	6
192	3
193	7
194	4
195	3
196	2
197	2
198	5
199	1
200	5
201	4
202	8
203	10
204	9
205	7
206	4
207	15
208	4
209	6
210	11
211	6
212	14
213	11
214	16
215	8
216	9
217	9
218	7
219	13
220	14
221	9
222	9
223	14
224	4
225	7
226	4
227	2
228	3
229	2
230	4
231	0
232	1
233	2
234	1
235	1
236	3
237	1
238	4
239	0
240	0
241	3
242	3
243	0
244	3
245	3
246	7
247	3
248	2
249	5
250	3
251	1
252	1
253	15
254	4
255	6
256	3
257	0
258	3
259	3
260	3
261	1
262	2
263	1
264	3
265	0
266	0
267	2
268	0
269	3
270	1
271	0
272	1
273	0
274	0
275	0
276	1
277	1
278	0
279	1
280	1
281	2
282	0
283	0
284	0
285	0
286	0
287	2
288	0
289	0
290	1
291	1
292	2
293	0
294	0
295	0
296	0
297	1
298	0
299	1
300	0
301	0
302	0
303	1
304	0
305	0
306	0
307	1
308	1
309	2
310	1
311	0
312	1
313	0
314	0
315	2
316	0
317	0
318	0
319	1
320	1
321	1
322	0
323	1
324	0
325	0
326	0
327	1
328	0
329	1
330	0
331	2
332	1
333	1
334	0
335	1
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	1
346	0
347	0
348	0
349	0
350	1
351	1
352	0
353	0
354	2
355	0
356	1
357	2
358	0
359	1
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	1
375	0
376	77
377	136
378	0
379	0
380	0
381	12
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	8
510	0
511	0
