Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 14:25:27

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
307	324	5.481	5660	6380	317.03	1.49	GOOD
351	363	3.987	720	846	357.82	4.33	GOOD

Spectral Data Information
Channel	Data
0	20
1	0
2	0
3	13082
4	908
5	123
6	86
7	71
8	68
9	68
10	79
11	69
12	61
13	38
14	52
15	35
16	46
17	45
18	41
19	51
20	32
21	41
22	44
23	50
24	37
25	40
26	51
27	34
28	35
29	39
30	29
31	35
32	30
33	21
34	20
35	21
36	23
37	26
38	26
39	19
40	21
41	33
42	38
43	40
44	43
45	32
46	66
47	127
48	74
49	47
50	31
51	36
52	20
53	10
54	14
55	13
56	17
57	16
58	19
59	23
60	10
61	15
62	12
63	10
64	13
65	16
66	10
67	21
68	14
69	15
70	16
71	14
72	17
73	18
74	11
75	15
76	12
77	11
78	11
79	17
80	15
81	19
82	16
83	13
84	15
85	12
86	11
87	14
88	13
89	12
90	15
91	11
92	14
93	29
94	35
95	39
96	44
97	17
98	12
99	19
100	16
101	23
102	16
103	19
104	20
105	19
106	21
107	14
108	15
109	22
110	13
111	19
112	18
113	15
114	14
115	18
116	21
117	13
118	13
119	26
120	22
121	14
122	18
123	22
124	14
125	62
126	36
127	10
128	17
129	15
130	18
131	24
132	36
133	50
134	57
135	40
136	19
137	19
138	27
139	17
140	24
141	22
142	16
143	18
144	22
145	26
146	20
147	14
148	10
149	9
150	19
151	18
152	15
153	16
154	18
155	16
156	20
157	14
158	40
159	58
160	46
161	36
162	20
163	20
164	18
165	16
166	25
167	20
168	23
169	18
170	18
171	22
172	24
173	29
174	30
175	29
176	24
177	36
178	26
179	20
180	12
181	9
182	20
183	18
184	20
185	21
186	16
187	22
188	24
189	14
190	20
191	19
192	24
193	21
194	15
195	14
196	25
197	22
198	14
199	22
200	31
201	15
202	31
203	24
204	26
205	18
206	25
207	21
208	21
209	32
210	28
211	32
212	31
213	26
214	28
215	32
216	38
217	25
218	23
219	31
220	20
221	27
222	29
223	39
224	39
225	45
226	23
227	20
228	26
229	17
230	21
231	24
232	23
233	25
234	31
235	26
236	19
237	29
238	27
239	32
240	24
241	30
242	24
243	25
244	34
245	35
246	26
247	31
248	46
249	43
250	37
251	31
252	37
253	57
254	41
255	33
256	36
257	41
258	39
259	49
260	56
261	76
262	69
263	95
264	96
265	111
266	123
267	121
268	131
269	126
270	158
271	144
272	127
273	105
274	103
275	100
276	117
277	134
278	153
279	155
280	142
281	87
282	91
283	75
284	81
285	73
286	71
287	58
288	55
289	56
290	69
291	53
292	66
293	78
294	61
295	61
296	64
297	61
298	62
299	63
300	67
301	70
302	74
303	81
304	84
305	64
306	69
307	68
308	51
309	59
310	82
311	95
312	146
313	249
314	447
315	670
316	861
317	1021
318	1055
319	800
320	535
321	203
322	76
323	30
324	22
325	19
326	16
327	14
328	18
329	9
330	14
331	14
332	13
333	20
334	20
335	9
336	10
337	19
338	8
339	7
340	12
341	14
342	8
343	12
344	15
345	12
346	7
347	7
348	6
349	9
350	6
351	6
352	13
353	13
354	24
355	47
356	94
357	160
358	183
359	149
360	100
361	49
362	14
363	17
364	23
365	25
366	35
367	23
368	15
369	7
370	3
371	2
372	0
373	1
374	4
375	1
376	155
377	380
378	1
379	0
380	0
381	22
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	13
510	0
511	0
