Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 13:49:25

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
127	139	2.588	414	524	133.25	6.08	GOOD
154	163	2.469	370	518	159.27	6.97	GOOD

Spectral Data Information
Channel	Data
0	9
1	0
2	0
3	9475
4	424
5	38
6	17
7	10
8	12
9	15
10	28
11	21
12	9
13	3
14	6
15	9
16	8
17	9
18	7
19	10
20	5
21	9
22	9
23	2
24	8
25	6
26	2
27	9
28	6
29	2
30	3
31	8
32	10
33	2
34	3
35	6
36	6
37	5
38	9
39	6
40	8
41	8
42	26
43	21
44	22
45	23
46	53
47	76
48	57
49	23
50	25
51	15
52	11
53	5
54	5
55	5
56	6
57	4
58	7
59	6
60	6
61	6
62	1
63	2
64	5
65	5
66	7
67	7
68	2
69	7
70	4
71	3
72	3
73	3
74	4
75	3
76	5
77	3
78	2
79	4
80	10
81	8
82	7
83	6
84	6
85	4
86	2
87	6
88	5
89	4
90	5
91	8
92	4
93	8
94	8
95	10
96	4
97	6
98	4
99	6
100	3
101	6
102	7
103	9
104	8
105	5
106	6
107	6
108	14
109	21
110	16
111	15
112	14
113	7
114	6
115	11
116	16
117	20
118	10
119	13
120	12
121	15
122	6
123	7
124	8
125	21
126	11
127	9
128	7
129	8
130	20
131	35
132	85
133	155
134	103
135	65
136	26
137	11
138	9
139	11
140	10
141	10
142	9
143	9
144	12
145	17
146	10
147	5
148	9
149	6
150	14
151	8
152	11
153	18
154	14
155	20
156	23
157	45
158	70
159	144
160	108
161	67
162	41
163	23
164	8
165	7
166	8
167	7
168	13
169	15
170	11
171	11
172	5
173	7
174	7
175	8
176	10
177	13
178	17
179	4
180	12
181	8
182	9
183	7
184	9
185	9
186	13
187	16
188	15
189	8
190	10
191	8
192	15
193	5
194	10
195	4
196	1
197	3
198	5
199	7
200	9
201	11
202	10
203	5
204	9
205	9
206	5
207	11
208	16
209	15
210	22
211	16
212	16
213	10
214	24
215	15
216	10
217	10
218	11
219	6
220	6
221	6
222	8
223	6
224	14
225	8
226	4
227	7
228	1
229	4
230	3
231	1
232	1
233	2
234	0
235	2
236	5
237	1
238	1
239	6
240	2
241	5
242	3
243	7
244	3
245	3
246	0
247	7
248	2
249	4
250	4
251	4
252	5
253	15
254	4
255	3
256	4
257	4
258	3
259	2
260	0
261	4
262	3
263	0
264	3
265	1
266	2
267	1
268	0
269	1
270	1
271	3
272	1
273	3
274	0
275	1
276	1
277	1
278	0
279	0
280	1
281	0
282	1
283	1
284	2
285	0
286	0
287	2
288	0
289	2
290	1
291	0
292	4
293	1
294	0
295	0
296	1
297	1
298	2
299	2
300	0
301	1
302	2
303	3
304	6
305	1
306	3
307	0
308	2
309	1
310	0
311	5
312	0
313	2
314	2
315	0
316	2
317	1
318	0
319	2
320	0
321	0
322	0
323	0
324	0
325	0
326	1
327	0
328	0
329	0
330	2
331	0
332	0
333	0
334	0
335	1
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	1
347	0
348	0
349	0
350	1
351	0
352	0
353	1
354	0
355	0
356	1
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	1
376	73
377	187
378	0
379	0
380	0
381	16
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	8
510	0
511	0
