Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 13:52:58

ROI Information
Start	End	FWHM (N)	Net Area	Gross Area	Centroid (N)	Uncertainty	Status
191	206	3.708	6693	7617	198.48	1.38	GOOD
217	229	3.999	990	1287	223.03	4.02	GOOD

Spectral Data Information
Channel	Data
0	17
1	0
2	0
3	10519
4	630
5	82
6	77
7	47
8	41
9	29
10	54
11	51
12	35
13	30
14	26
15	32
16	43
17	27
18	26
19	25
20	24
21	26
22	20
23	20
24	29
25	24
26	19
27	36
28	23
29	23
30	15
31	23
32	23
33	25
34	29
35	22
36	22
37	22
38	15
39	26
40	24
41	33
42	48
43	50
44	44
45	43
46	86
47	119
48	80
49	42
50	30
51	35
52	36
53	25
54	21
55	17
56	14
57	21
58	25
59	23
60	15
61	22
62	23
63	16
64	19
65	17
66	15
67	16
68	16
69	15
70	20
71	15
72	24
73	11
74	18
75	14
76	22
77	11
78	16
79	18
80	24
81	34
82	26
83	25
84	19
85	20
86	17
87	13
88	22
89	24
90	22
91	23
92	23
93	27
94	31
95	33
96	28
97	22
98	19
99	15
100	25
101	25
102	25
103	32
104	29
105	32
106	18
107	24
108	26
109	23
110	29
111	19
112	15
113	29
114	21
115	20
116	20
117	23
118	19
119	20
120	29
121	26
122	16
123	28
124	19
125	53
126	31
127	23
128	23
129	20
130	19
131	32
132	45
133	61
134	66
135	47
136	31
137	31
138	25
139	38
140	41
141	37
142	40
143	42
144	34
145	39
146	38
147	23
148	35
149	50
150	44
151	32
152	40
153	33
154	31
155	50
156	53
157	90
158	87
159	121
160	98
161	99
162	86
163	104
164	137
165	160
166	180
167	212
168	181
169	167
170	175
171	132
172	135
173	112
174	125
175	121
176	127
177	133
178	116
179	92
180	100
181	93
182	99
183	88
184	116
185	100
186	118
187	131
188	97
189	86
190	112
191	85
192	112
193	109
194	118
195	216
196	481
197	1037
198	1708
199	1727
200	1243
201	492
202	193
203	80
204	41
205	60
206	47
207	44
208	47
209	59
210	76
211	80
212	64
213	80
214	52
215	62
216	48
217	35
218	31
219	40
220	75
221	161
222	233
223	257
224	220
225	122
226	83
227	34
228	31
229	19
230	19
231	9
232	9
233	7
234	7
235	8
236	3
237	5
238	11
239	12
240	17
241	9
242	7
243	11
244	8
245	11
246	14
247	11
248	14
249	13
250	13
251	16
252	15
253	33
254	4
255	10
256	7
257	6
258	5
259	3
260	5
261	8
262	6
263	3
264	4
265	5
266	1
267	2
268	6
269	6
270	5
271	3
272	8
273	5
274	1
275	5
276	5
277	6
278	4
279	2
280	1
281	3
282	3
283	6
284	2
285	3
286	1
287	5
288	8
289	3
290	8
291	11
292	4
293	7
294	4
295	2
296	6
297	3
298	2
299	2
300	2
301	2
302	5
303	5
304	10
305	2
306	8
307	6
308	7
309	3
310	3
311	5
312	8
313	4
314	5
315	3
316	4
317	3
318	5
319	3
320	3
321	5
322	2
323	1
324	3
325	3
326	4
327	6
328	4
329	7
330	2
331	3
332	4
333	2
334	3
335	3
336	3
337	4
338	3
339	4
340	2
341	5
342	2
343	3
344	1
345	1
346	7
347	2
348	3
349	1
350	1
351	3
352	6
353	4
354	4
355	3
356	1
357	3
358	1
359	2
360	6
361	1
362	1
363	0
364	1
365	1
366	2
367	3
368	0
369	2
370	1
371	3
372	6
373	1
374	1
375	1
376	189
377	386
378	1
379	0
380	0
381	16
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	20
510	0
511	0
