Filename:  C:\Users\csmuser\Desktop\qlab users\JP XRay\background.mca
Description:  
TimeStamp:  03/04/2020 13:28:39

Spectral Data Information
Channel	Data
0	3
1	0
2	0
3	2996
4	134
5	14
6	10
7	3
8	5
9	0
10	12
11	5
12	3
13	1
14	3
15	3
16	2
17	0
18	2
19	1
20	1
21	2
22	3
23	5
24	2
25	2
26	1
27	0
28	1
29	3
30	3
31	1
32	2
33	0
34	0
35	2
36	2
37	1
38	1
39	2
40	2
41	4
42	7
43	9
44	3
45	11
46	28
47	25
48	21
49	5
50	10
51	10
52	3
53	3
54	1
55	2
56	1
57	0
58	0
59	1
60	1
61	0
62	0
63	1
64	0
65	0
66	1
67	0
68	1
69	2
70	1
71	0
72	1
73	0
74	0
75	2
76	0
77	0
78	5
79	2
80	0
81	3
82	4
83	1
84	2
85	2
86	2
87	1
88	0
89	1
90	1
91	1
92	0
93	2
94	2
95	2
96	0
97	0
98	1
99	2
100	1
101	2
102	1
103	2
104	4
105	4
106	5
107	1
108	2
109	10
110	6
111	3
112	2
113	3
114	3
115	6
116	3
117	4
118	3
119	4
120	3
121	3
122	1
123	3
124	1
125	9
126	5
127	3
128	3
129	7
130	6
131	17
132	36
133	50
134	44
135	15
136	8
137	3
138	3
139	6
140	4
141	2
142	1
143	7
144	3
145	3
146	1
147	3
148	2
149	4
150	4
151	3
152	5
153	4
154	5
155	10
156	12
157	9
158	24
159	44
160	32
161	22
162	17
163	2
164	3
165	6
166	2
167	4
168	2
169	4
170	4
171	2
172	3
173	1
174	1
175	1
176	7
177	5
178	6
179	3
180	2
181	3
182	0
183	0
184	5
185	2
186	4
187	5
188	1
189	6
190	5
191	0
192	2
193	1
194	1
195	1
196	1
197	2
198	3
199	4
200	2
201	2
202	4
203	2
204	5
205	5
206	2
207	3
208	4
209	3
210	10
211	4
212	6
213	8
214	6
215	3
216	3
217	2
218	5
219	0
220	3
221	2
222	1
223	4
224	4
225	3
226	1
227	1
228	1
229	1
230	1
231	0
232	0
233	1
234	1
235	0
236	0
237	0
238	1
239	0
240	0
241	0
242	1
243	2
244	1
245	0
246	0
247	1
248	0
249	1
250	0
251	1
252	1
253	0
254	1
255	0
256	0
257	1
258	1
259	1
260	0
261	0
262	0
263	0
264	1
265	0
266	1
267	0
268	2
269	0
270	0
271	0
272	1
273	0
274	1
275	0
276	0
277	1
278	1
279	0
280	1
281	1
282	0
283	0
284	0
285	1
286	1
287	0
288	0
289	0
290	1
291	0
292	1
293	0
294	0
295	0
296	0
297	0
298	0
299	1
300	0
301	0
302	0
303	0
304	0
305	1
306	1
307	0
308	2
309	0
310	1
311	1
312	0
313	0
314	0
315	0
316	0
317	0
318	1
319	0
320	1
321	0
322	0
323	0
324	0
325	0
326	0
327	1
328	0
329	0
330	0
331	1
332	0
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	1
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	11
377	46
378	0
379	0
380	0
381	4
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	2
510	0
511	0
